Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"DL","07/01/2021","0303","N544US","ATL","06:20"
"DL","07/01/2021","0324","N1200K","JFK","07:00"
"DL","07/01/2021","0328","N175DZ","JFK","21:59"
"DL","07/01/2021","0333","N181DN","HNL","13:25"
"DL","07/01/2021","0342","N539US","DCA","07:45"
"DL","07/01/2021","0360","N105DX","DTW","23:35"
"DL","07/01/2021","0367","N593NW","ATL","12:05"
"DL","07/01/2021","0369","N586NW","ATL","07:30"
"DL","07/01/2021","0373","N592NW","ATL","00:45"
"DL","07/01/2021","0381","N381DN","BNA","18:28"
"DL","07/01/2021","0382","N881DN","SEA","11:15"
"DL","07/01/2021","0383","N3750D","SEA","07:20"
"DL","07/01/2021","0386","N3752","BNA","10:50"
"DL","07/01/2021","0392","N831MH","JFK","09:00"
"DL","07/01/2021","0394","N390DA","SEA","17:15"
"DL","07/01/2021","0436","N307DX","DTW","22:30"
"DL","07/01/2021","0443","N594NW","HNL","16:05"
"DL","07/01/2021","0480","N585NW","HNL","08:10"
"DL","07/01/2021","0534","N774DE","SEA","13:30"
"DL","07/01/2021","0542","N869DN","MCO","06:30"
"DL","07/01/2021","0565","N125DU","SAT","08:35"
"DL","07/01/2021","0566","N137DU","SAT","18:10"
"DL","07/01/2021","0730","N375DA","BOS","12:55"
"DL","07/01/2021","0732","N544US","HNL","18:10"
"DL","07/01/2021","0735","N839MH","JFK","14:15"
"DL","07/01/2021","0736","N546US","OGG","12:20"
"DL","07/01/2021","0746","N545US","KOA","15:45"
"DL","07/01/2021","0791","N695DL","DTW","12:36"
"DL","07/01/2021","0809","N535US","DTW","06:00"
"DL","07/01/2021","0847","N917DU","MCO","22:50"
"DL","07/01/2021","0855","N584NW","MSP","14:10"
"DL","07/01/2021","0915","N830MH","ATL","23:45"
"DL","07/01/2021","0930","N116DN","MSP","06:00"
"DL","07/01/2021","0937","N302DN","MSP","12:55"
"DL","07/01/2021","0953","N326DN","MSP","08:45"
"DL","07/01/2021","0961","N333DX","ATL","11:05"
"DL","07/01/2021","0986","N3748Y","AUS","09:30"
"DL","07/01/2021","1041","N351NW","DFW","09:17"
"DL","07/01/2021","1072","N37700","TPA","22:23"
"DL","07/01/2021","1099","N590NW","MSP","00:45"
"DL","07/01/2021","1131","N172DZ","JFK","16:30"
"DL","07/01/2021","1136","N3748Y","MEM","18:59"
"DL","07/01/2021","1145","N827DN","SLC","06:00"
"DL","07/01/2021","1162","N3746H","RDU","22:05"
"DL","07/01/2021","1163","N381DZ","SLC","07:00"
"DL","07/01/2021","1186","N376DN","MSY","16:57"
"DL","07/01/2021","1311","N3732J","BOS","07:55"
"DL","07/01/2021","1339","N547US","DTW","07:00"
"DL","07/01/2021","1356","N112DU","IAH","17:34"
"DL","07/01/2021","1359","N108DQ","IAH","07:10"
"DL","07/01/2021","1362","N377DA","RDU","09:40"
"DL","07/01/2021","1415","N3738B","BOS","15:07"
"DL","07/01/2021","1485","N3735D","MCI","19:27"
"DL","07/01/2021","1506","N379DA","AUS","12:55"
"DL","07/01/2021","1507","N372DN","AUS","18:45"
"DL","07/01/2021","1519","N351NW","DFW","18:00"
"DL","07/01/2021","1543","N854DN","MCO","14:55"
"DL","07/01/2021","1550","N591NW","ATL","15:40"
"DL","07/01/2021","1558","N590NW","DTW","14:39"
"DL","07/01/2021","1644","N390DA","SEA","09:10"
"DL","07/01/2021","1704","N113DX","SLC","16:00"
"DL","07/01/2021","1730","N397DN","ATL","17:45"
"DL","07/01/2021","1749","N816DN","MCO","10:30"
"DL","07/01/2021","1761","N540US","LIH","14:45"
"DL","07/01/2021","1783","N380DN","CVG","21:55"
"DL","07/01/2021","1788","N391DA","FLL","21:47"
"DL","07/01/2021","2068","N592NW","ATL","13:05"
"DL","07/01/2021","2112","N869DN","SEA","19:25"
"DL","07/01/2021","2114","N3754A","SEA","15:30"
"DL","07/01/2021","2156","N3765","TPA","11:20"
"DL","07/01/2021","2227","N374DA","SLC","11:35"
"DL","07/01/2021","2280","N130DU","DEN","10:10"
"DL","07/01/2021","2296","N3747D","IND","21:50"
"DL","07/01/2021","2310","N107DN","DEN","19:55"
"DL","07/01/2021","2335","N844MH","JFK","11:15"
"DL","07/01/2021","2345","N548US","OGG","17:05"
"DL","07/01/2021","2391","N122DN","ATL","09:20"
"DL","07/01/2021","2426","N891DN","SLC","13:47"
"DL","07/01/2021","2444","N379DA","BOS","21:22"
"DL","07/01/2021","2449","N837DN","MSY","11:44"
"DL","07/01/2021","2501","N112DN","SLC","10:00"
"DL","07/01/2021","2521","N831MH","JFK","23:55"
