Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0322","N68452","IAH","16:40"
"UA","07/01/2021","0417","N27509","OGG","09:07"
"UA","07/01/2021","0479","N677UA","EWR","14:00"
"UA","07/01/2021","0501","N76515","SFO","08:15"
"UA","07/01/2021","0514","N686UA","JFK","07:30"
"UA","07/01/2021","0516","N671UA","JFK","14:30"
"UA","07/01/2021","0593","N28457","MCO","09:50"
"UA","07/01/2021","0601","N75853","HNL","19:20"
"UA","07/01/2021","0646","N77431","DEN","09:00"
"UA","07/01/2021","0675","N57855","DEN","05:20"
"UA","07/01/2021","1004","N38417","ITO","19:15"
"UA","07/01/2021","1069","N77510","ORD","12:40"
"UA","07/01/2021","1141","N37507","OGG","19:30"
"UA","07/01/2021","1158","N2644U","HNL","08:30"
"UA","07/01/2021","1183","N38417","SFO","06:45"
"UA","07/01/2021","1219","N78524","OGG","14:45"
"UA","07/01/2021","1224","N57111","HNL","10:10"
"UA","07/01/2021","1241","N57863","DEN","13:42"
"UA","07/01/2021","1295","N13110","LIH","08:40"
"UA","07/01/2021","1431","N77871","HNL","13:25"
"UA","07/01/2021","1501","N846UA","SFO","06:15"
"UA","07/01/2021","1535","N27964","IAH","12:10"
"UA","07/01/2021","1548","N422UA","SFO","15:45"
"UA","07/01/2021","1550","N812UA","JAC","09:00"
"UA","07/01/2021","1597","N69826","SFO","22:40"
"UA","07/01/2021","1666","N404UA","SFO","19:20"
"UA","07/01/2021","1680","N879UA","IAH","18:45"
"UA","07/01/2021","1688","N37522","IAH","13:39"
"UA","07/01/2021","1699","N39475","IAD","23:55"
"UA","07/01/2021","1701","N464UA","BWI","23:00"
"UA","07/01/2021","1718","N77537","KOA","13:45"
"UA","07/01/2021","1745","N846UA","SFO","10:58"
"UA","07/01/2021","1753","N425UA","SEA","19:30"
"UA","07/01/2021","1772","N13110","EWR","23:00"
"UA","07/01/2021","1778","N17126","EWR","10:00"
"UA","07/01/2021","1786","N79521","CLE","22:40"
"UA","07/01/2021","1897","N68891","ORD","14:20"
"UA","07/01/2021","1946","N33294","IAH","08:15"
"UA","07/01/2021","1990","N17002","EWR","08:15"
"UA","07/01/2021","2039","N65832","ORD","08:51"
"UA","07/01/2021","2146","N77431","DEN","16:25"
"UA","07/01/2021","2181","N78501","IAH","00:45"
"UA","07/01/2021","2265","N57870","ORD","07:00"
"UA","07/01/2021","2283","N38424","DEN","18:50"
"UA","07/01/2021","2311","N62884","DEN","11:15"
"UA","07/01/2021","2361","N37507","IAH","10:15"
"UA","07/01/2021","2362","N57864","ORD","11:00"
"UA","07/01/2021","2373","N56859","KOA","09:00"
"UA","07/01/2021","2402","N69824","BOS","22:45"
"UA","07/01/2021","2410","N57864","MCO","22:40"
"UA","07/01/2021","2609","N39475","BOS","08:15"
"UA","07/01/2021","2612","N24202","IAD","13:15"
"UA","07/01/2021","2613","N36962","IAD","08:15"
"UA","07/01/2021","2616","N38446","IAH","06:00"
"UA","07/01/2021","2620","N449UA","LAS","22:45"
"UA","07/01/2021","2621","N36469","ORD","16:00"
"UA","07/01/2021","2622","N77014","ORD","23:55"
"UA","07/02/2021","0322","N27477","IAH","16:40"
"UA","07/02/2021","0417","N37507","OGG","09:07"
"UA","07/02/2021","0479","N684UA","EWR","14:00"
"UA","07/02/2021","0501","N77537","SFO","08:15"
"UA","07/02/2021","0514","N667UA","JFK","07:30"
"UA","07/02/2021","0516","N670UA","JFK","14:30"
"UA","07/02/2021","0593","N63820","MCO","09:50"
"UA","07/02/2021","0601","N56859","HNL","19:20"
"UA","07/02/2021","0646","N27509","DEN","09:00"
"UA","07/02/2021","0673","N24976","EWR","22:00"
"UA","07/02/2021","0675","N57868","DEN","05:20"
"UA","07/02/2021","1004","N37466","ITO","19:05"
"UA","07/02/2021","1069","N76529","ORD","12:40"
"UA","07/02/2021","1141","N17529","OGG","19:30"
"UA","07/02/2021","1158","N2747U","HNL","08:30"
"UA","07/02/2021","1219","N78509","OGG","13:20"
"UA","07/02/2021","1224","N2332U","HNL","10:10"
"UA","07/02/2021","1241","N57863","DEN","13:42"
"UA","07/02/2021","1295","N57111","LIH","08:40"
"UA","07/02/2021","1431","N74856","HNL","13:25"
"UA","07/02/2021","1497","N2737U","ORD","00:30"
"UA","07/02/2021","1501","N818UA","SFO","06:15"
"UA","07/02/2021","1535","N24973","IAH","12:10"
"UA","07/02/2021","1548","N444UA","SFO","15:45"
"UA","07/02/2021","1550","N872UA","JAC","09:00"
"UA","07/02/2021","1597","N881UA","SFO","22:40"
"UA","07/02/2021","1666","N402UA","SFO","19:20"
"UA","07/02/2021","1680","N466UA","IAH","18:45"
"UA","07/02/2021","1688","N37522","IAH","13:39"
"UA","07/02/2021","1699","N76526","IAD","23:55"
"UA","07/02/2021","1701","N404UA","BWI","23:00"
"UA","07/02/2021","1718","N87531","KOA","14:11"
"UA","07/02/2021","1745","N13227","SFO","10:56"
"UA","07/02/2021","1753","N405UA","SEA","19:30"
"UA","07/02/2021","1772","N67134","EWR","23:59"
"UA","07/02/2021","1778","N48127","EWR","10:00"
"UA","07/02/2021","1786","N62892","CLE","22:40"
"UA","07/02/2021","1897","N68802","ORD","14:20"
"UA","07/02/2021","1946","N77295","IAH","08:15"
"UA","07/02/2021","1990","N14001","EWR","08:15"
"UA","07/02/2021","2039","N38417","ORD","08:51"
"UA","07/02/2021","2146","N27509","DEN","16:25"
"UA","07/02/2021","2181","N63820","IAH","00:45"
"UA","07/02/2021","2235","N812UA","SFO","06:45"
"UA","07/02/2021","2265","N56859","ORD","07:00"
"UA","07/02/2021","2283","N37437","DEN","18:50"
"UA","07/02/2021","2311","N37521","DEN","11:15"
"UA","07/02/2021","2361","N47512","IAH","10:15"
"UA","07/02/2021","2362","N75854","ORD","11:00"
"UA","07/02/2021","2373","N57870","KOA","09:00"
"UA","07/02/2021","2402","N68843","BOS","22:45"
"UA","07/02/2021","2410","N57870","MCO","22:40"
"UA","07/02/2021","2609","N69806","BOS","08:15"
"UA","07/02/2021","2612","N53441","IAD","14:30"
"UA","07/02/2021","2613","N20904","IAD","08:15"
"UA","07/02/2021","2616","N69847","IAH","06:00"
"UA","07/02/2021","2620","N470UA","LAS","22:45"
"UA","07/02/2021","2621","N75435","ORD","16:00"
"UA","07/02/2021","2622","N45956","ORD","23:55"
"UA","07/03/2021","0322","N33203","IAH","16:40"
"UA","07/03/2021","0417","N27509","OGG","09:07"
"UA","07/03/2021","0479","N671UA","EWR","14:00"
"UA","07/03/2021","0514","N673UA","JFK","07:30"
"UA","07/03/2021","0516","N684UA","JFK","14:30"
"UA","07/03/2021","0593","N66803","MCO","09:50"
"UA","07/03/2021","0601","N56859","HNL","19:20"
"UA","07/03/2021","0646","N17529","DEN","09:00"
"UA","07/03/2021","0673","N16009","EWR","22:00"
"UA","07/03/2021","0675","N75854","DEN","05:20"
"UA","07/03/2021","1004","N38443","ITO","19:05"
"UA","07/03/2021","1141","N37504","OGG","19:32"
"UA","07/03/2021","1158","N2748U","HNL","08:30"
"UA","07/03/2021","1219","N87507","OGG","13:20"
"UA","07/03/2021","1224","N2142U","HNL","10:10"
"UA","07/03/2021","1241","N57863","DEN","13:42"
"UA","07/03/2021","1264","N78509","LIH","19:37"
"UA","07/03/2021","1295","N57111","LIH","08:40"
"UA","07/03/2021","1431","N57855","HNL","13:25"
"UA","07/03/2021","1497","N68817","ORD","00:30"
