Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"AA","07/01/2021","0411","N929AA","PHX","23:20"
"AA","07/01/2021","0463","N930NN","MIA","20:52"
"AA","07/01/2021","0598","N154AA","DFW","22:33"
"AA","07/01/2021","0668","N987NN","CLT","17:08"
"AA","07/01/2021","0774","N819NN","ORD","10:40"
"AA","07/01/2021","1095","N847NN","AUS","14:39"
"AA","07/01/2021","1173","N823AN","ORD","15:15"
"AA","07/01/2021","1176","N334SM","MIA","12:10"
"AA","07/01/2021","1181","N560UW","CLT","10:38"
"AA","07/01/2021","1336","N549UW","DFW","00:38"
"AA","07/01/2021","1571","N945AN","DCA","16:08"
"AA","07/01/2021","1573","N924AN","CLT","15:11"
"AA","07/01/2021","1635","N933AM","MIA","18:44"
"AA","07/01/2021","1649","N127UW","CLT","12:54"
"AA","07/01/2021","1666","N973AN","DCA","10:40"
"AA","07/01/2021","1682","N979UY","CLT","18:00"
"AA","07/01/2021","1684","N427AN","PHL","11:06"
"AA","07/01/2021","1693","N579UW","CLT","09:06"
"AA","07/01/2021","1700","N165NN","MIA","16:57"
"AA","07/01/2021","1705","N414AL","DFW","16:00"
"AA","07/01/2021","1708","N145AN","ORD","13:15"
"AA","07/01/2021","1709","N902AA","DFW","10:56"
"AA","07/01/2021","1710","N130AN","DFW","12:48"
"AA","07/01/2021","1712","N961AN","MIA","09:39"
"AA","07/01/2021","1716","N542UW","DFW","14:40"
"AA","07/01/2021","1717","N195UW","CLT","16:26"
"AA","07/01/2021","1719","N540UW","PHL","13:39"
"AA","07/01/2021","1842","N822NN","CLT","19:45"
"AA","07/01/2021","1879","N154UW","CLT","22:26"
"AA","07/01/2021","1919","N157UW","PHL","21:15"
"AA","07/01/2021","1979","N800AN","PHL","09:11"
"AA","07/01/2021","2091","N567UW","LAX","06:32"
"AA","07/01/2021","2092","N167US","CLT","00:13"
"AA","07/01/2021","2188","N327SK","MIA","23:39"
"AA","07/01/2021","2240","N981AN","MIA","08:08"
"AA","07/01/2021","2424","N810NN","DFW","21:26"
"AA","07/01/2021","2436","N917UY","PHX","06:05"
"AA","07/01/2021","2490","N990AU","DFW","18:15"
"AA","07/01/2021","2495","N846NN","MIA","14:50"
"AA","07/01/2021","2497","N965AN","DCA","20:17"
"AA","07/01/2021","2502","N157AA","PHL","16:09"
"AA","07/01/2021","2509","N767UW","DCA","14:11"
"AA","07/01/2021","2512","N144AN","LAX","16:31"
"AA","07/01/2021","2525","N941NN","ORD","18:46"
"AA","07/01/2021","2529","N145AN","ORD","20:49"
"AA","07/01/2021","2531","N153AN","PHL","18:23"
"AA","07/01/2021","2544","N948AN","CLT","14:23"
"AA","07/01/2021","2547","N426AN","PHX","16:52"
"AA","07/01/2021","2645","N919US","LGA","09:39"
"AA","07/01/2021","2791","N147AA","DFW","20:33"
"AA","07/02/2021","0411","N159AN","PHX","23:20"
"AA","07/02/2021","0463","N314RH","MIA","20:52"
"AA","07/02/2021","0598","N154AA","DFW","22:33"
"AA","07/02/2021","0668","N826NN","CLT","17:08"
"AA","07/02/2021","0774","N987AN","ORD","10:40"
"AA","07/02/2021","1095","N855NN","AUS","14:39"
"AA","07/02/2021","1173","N820AL","ORD","15:15"
"AA","07/02/2021","1176","N334SM","MIA","11:36"
"AA","07/02/2021","1181","N601AW","CLT","10:38"
"AA","07/02/2021","1336","N970UY","DFW","00:38"
"AA","07/02/2021","1571","N943AN","DCA","16:08"
"AA","07/02/2021","1635","N991AU","MIA","18:44"
"AA","07/02/2021","1649","N918US","CLT","12:54"
"AA","07/02/2021","1666","N987NN","DCA","10:40"
"AA","07/02/2021","1682","N583UW","CLT","18:00"
"AA","07/02/2021","1684","N420AN","PHL","11:06"
"AA","07/02/2021","1693","N560UW","CLT","09:06"
"AA","07/02/2021","1700","N123NN","MIA","16:57"
"AA","07/02/2021","1705","N412UW","DFW","16:00"
"AA","07/02/2021","1708","N934AA","ORD","13:15"
"AA","07/02/2021","1709","N923US","DFW","10:56"
"AA","07/02/2021","1710","N164NN","DFW","12:48"
"AA","07/02/2021","1712","N956AN","MIA","09:39"
"AA","07/02/2021","1716","N993AN","DFW","14:40"
"AA","07/02/2021","1717","N183UW","CLT","16:26"
"AA","07/02/2021","1719","N131NN","PHL","13:39"
"AA","07/02/2021","1842","N804NN","CLT","19:45"
"AA","07/02/2021","1879","N923US","CLT","22:26"
"AA","07/02/2021","1919","N521UW","PHL","21:15"
"AA","07/02/2021","1979","N118NN","PHL","09:16"
"AA","07/02/2021","2091","N578UW","LAX","06:32"
"AA","07/02/2021","2092","N165US","CLT","00:13"
"AA","07/02/2021","2188","N378SC","MIA","23:58"
"AA","07/02/2021","2240","N358PW","MIA","08:08"
"AA","07/02/2021","2424","N800NN","DFW","21:26"
"AA","07/02/2021","2436","N154UW","PHX","06:05"
"AA","07/02/2021","2490","N130AN","DFW","18:15"
"AA","07/02/2021","2495","N923AN","MIA","14:50"
"AA","07/02/2021","2497","N938AN","DCA","20:17"
"AA","07/02/2021","2502","N536UW","PHL","16:09"
"AA","07/02/2021","2509","N750UW","DCA","14:11"
"AA","07/02/2021","2512","N128AN","LAX","16:37"
"AA","07/02/2021","2525","N805NN","ORD","18:46"
"AA","07/02/2021","2529","N146AA","ORD","20:49"
"AA","07/02/2021","2531","N165NN","PHL","18:23"
"AA","07/02/2021","2544","N816NN","CLT","14:23"
"AA","07/02/2021","2547","N419AN","PHX","16:49"
"AA","07/02/2021","2645","N922US","LGA","09:33"
"AA","07/02/2021","2791","N146AA","DFW","20:33"
"AA","07/03/2021","0463","N338RS","MIA","20:52"
"AA","07/03/2021","0598","N141NN","DFW","22:33"
"AA","07/03/2021","0668","N167US","CLT","17:08"
"AA","07/03/2021","0774","N972AN","ORD","10:40"
"AA","07/03/2021","1095","N925NN","AUS","14:39"
"AA","07/03/2021","1173","N835AN","ORD","15:15"
"AA","07/03/2021","1176","N304RB","MIA","11:47"
"AA","07/03/2021","1181","N165US","CLT","10:38"
"AA","07/03/2021","1336","N151UW","DFW","00:38"
"AA","07/03/2021","1573","N942NN","CLT","15:11"
"AA","07/03/2021","1635","N151AN","MIA","18:44"
"AA","07/03/2021","1649","N173US","CLT","12:54"
"AA","07/03/2021","1666","N359PX","DCA","10:40"
"AA","07/03/2021","1682","N195UW","CLT","18:00"
"AA","07/03/2021","1684","N650AW","PHL","11:06"
"AA","07/03/2021","1693","N549UW","CLT","09:06"
"AA","07/03/2021","1700","N998AN","MIA","16:57"
"AA","07/03/2021","1705","N434AN","DFW","16:00"
"AA","07/03/2021","1708","N170US","ORD","13:15"
"AA","07/03/2021","1709","N579UW","DFW","10:56"
"AA","07/03/2021","1710","N134AN","DFW","12:48"
"AA","07/03/2021","1712","N942NN","MIA","09:39"
"AA","07/03/2021","1716","N914UY","DFW","14:40"
"AA","07/03/2021","1717","N576UW","CLT","16:26"
"AA","07/03/2021","1719","N567UW","PHL","13:39"
"AA","07/03/2021","1842","N318SF","CLT","19:45"
"AA","07/03/2021","1879","N163US","CLT","22:26"
"AA","07/03/2021","1919","N920US","PHL","21:15"
"AA","07/03/2021","2091","N190UW","LAX","06:32"
"AA","07/03/2021","2092","N925UY","CLT","00:13"
"AA","07/03/2021","2188","N324RN","MIA","23:58"
"AA","07/03/2021","2240","N881NN","MIA","08:08"
"AA","07/03/2021","2424","N802NN","DFW","21:26"
"AA","07/03/2021","2490","N902AA","DFW","18:15"
"AA","07/03/2021","2495","N815NN","MIA","14:50"
"AA","07/03/2021","2497","N929NN","DCA","20:17"
"AA","07/03/2021","2502","N910AU","PHL","16:09"
"AA","07/03/2021","2509","N831NN","DCA","14:20"
"AA","07/03/2021","2512","N121AN","LAX","16:37"
"AA","07/03/2021","2525","N941NN","ORD","18:46"
"AA","07/03/2021","2529","N908AA","ORD","20:49"
"AA","07/03/2021","2531","N997AA","PHL","18:23"
