Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"DL","07/01/2021","0502","N873DN","SEA","17:14"
"DL","07/01/2021","0542","N869DN","LAX","14:28"
"DL","07/01/2021","0572","N873DN","SLC","05:50"
"DL","07/01/2021","0656","N596NW","DTW","11:12"
"DL","07/01/2021","0760","N103DY","JFK","18:39"
"DL","07/01/2021","0847","N917DU","LAX","06:48"
"DL","07/01/2021","0854","N339NB","RDU","16:21"
"DL","07/01/2021","1016","N852DN","SLC","23:57"
"DL","07/01/2021","1060","N398DA","CVG","15:41"
"DL","07/01/2021","1065","N103DY","JFK","09:56"
"DL","07/01/2021","1088","N120DN","DTW","15:20"
"DL","07/01/2021","1094","N396DN","LGA","09:34"
"DL","07/01/2021","1114","N588NW","ATL","23:59"
"DL","07/01/2021","1291","N334DN","JFK","22:13"
"DL","07/01/2021","1396","N369DN","LGA","22:32"
"DL","07/01/2021","1400","N3755D","BOS","20:18"
"DL","07/01/2021","1431","N844DN","SLC","16:32"
"DL","07/01/2021","1473","N857DZ","JFK","23:41"
"DL","07/01/2021","1474","N370DN","BOS","16:58"
"DL","07/01/2021","1477","N676DL","ATL","20:25"
"DL","07/01/2021","1478","N380DA","BOS","10:16"
"DL","07/01/2021","1513","N554NW","ATL","14:30"
"DL","07/01/2021","1533","N582NW","ATL","09:41"
"DL","07/01/2021","1543","N854DN","LAX","22:56"
"DL","07/01/2021","1546","N670DN","ATL","16:49"
"DL","07/01/2021","1553","N660DL","ATL","18:15"
"DL","07/01/2021","1555","N171DN","ATL","22:42"
"DL","07/01/2021","1575","N670DN","ATL","10:45"
"DL","07/01/2021","1592","N334DN","JFK","13:19"
"DL","07/01/2021","1633","N676DL","ATL","08:39"
"DL","07/01/2021","1652","N901DN","SEA","06:22"
"DL","07/01/2021","1746","N854DN","DTW","09:40"
"DL","07/01/2021","1749","N816DN","LAX","18:34"
"DL","07/01/2021","1774","N660DL","ATL","12:12"
"DL","07/01/2021","2022","N868DN","MSP","20:05"
"DL","07/01/2021","2058","N339NB","RDU","09:52"
"DL","07/01/2021","2076","N339DN","MSP","23:59"
"DL","07/01/2021","2077","N847DN","MSP","17:08"
"DL","07/01/2021","2081","N395DZ","DTW","13:02"
"DL","07/01/2021","2117","N589NW","DTW","23:40"
"DL","07/01/2021","2126","N684DA","DTW","20:48"
"DL","07/01/2021","2157","N697DL","MSP","14:33"
"DL","07/01/2021","2160","N822DX","MSP","12:06"
"DL","07/01/2021","2308","N339NB","RDU","22:24"
"DL","07/01/2021","2398","N369DN","LGA","14:11"
"DL","07/01/2021","2420","N675DL","ATL","13:14"
"DL","07/01/2021","2422","N1604R","ATL","19:19"
"DL","07/01/2021","2438","N886DN","CVG","10:05"
"DL","07/01/2021","2490","N550NW","ATL","21:21"
"DL","07/01/2021","2538","N538US","DTW","17:30"
"DL","07/01/2021","2541","N860NW","SLC","14:31"
"DL","07/01/2021","2873","N375DN","LGA","18:39"
"DL","07/02/2021","0502","N879DN","SEA","17:14"
"DL","07/02/2021","0542","N902DN","LAX","14:28"
"DL","07/02/2021","0572","N879DN","SLC","05:50"
"DL","07/02/2021","0656","N595NW","DTW","11:12"
"DL","07/02/2021","0760","N375DN","JFK","18:39"
"DL","07/02/2021","0847","N890DN","LAX","06:48"
"DL","07/02/2021","0854","N319NB","RDU","16:21"
"DL","07/02/2021","1016","N372DA","SLC","23:57"
"DL","07/02/2021","1060","N3765","CVG","15:41"
"DL","07/02/2021","1065","N375DN","JFK","09:56"
"DL","07/02/2021","1094","N396DN","LGA","09:34"
"DL","07/02/2021","1114","N583NW","ATL","23:59"
"DL","07/02/2021","1291","N334DN","JFK","22:13"
"DL","07/02/2021","1396","N351DN","LGA","22:32"
"DL","07/02/2021","1400","N3730B","BOS","20:18"
"DL","07/02/2021","1431","N848DN","SLC","16:32"
"DL","07/02/2021","1473","N824DN","JFK","23:41"
"DL","07/02/2021","1474","N309DN","BOS","16:58"
"DL","07/02/2021","1477","N596NW","ATL","20:25"
"DL","07/02/2021","1478","N392DA","BOS","10:16"
"DL","07/02/2021","1513","N171DN","ATL","14:25"
"DL","07/02/2021","1533","N591NW","ATL","09:41"
"DL","07/02/2021","1543","N811DZ","LAX","22:56"
"DL","07/02/2021","1546","N540US","ATL","16:49"
"DL","07/02/2021","1553","N674DL","ATL","18:15"
"DL","07/02/2021","1555","N171DN","ATL","22:42"
"DL","07/02/2021","1575","N550NW","ATL","10:45"
"DL","07/02/2021","1592","N334DN","JFK","13:19"
"DL","07/02/2021","1633","N197DN","ATL","08:39"
"DL","07/02/2021","1652","N847DN","SEA","06:22"
"DL","07/02/2021","1746","N811DZ","DTW","09:40"
"DL","07/02/2021","1749","N857DZ","LAX","18:34"
"DL","07/02/2021","1774","N674DL","ATL","12:12"
"DL","07/02/2021","2022","N927DZ","MSP","20:05"
"DL","07/02/2021","2058","N319NB","RDU","09:52"
"DL","07/02/2021","2076","N350DN","MSP","23:59"
"DL","07/02/2021","2077","N865DN","MSP","17:08"
"DL","07/02/2021","2081","N357DN","DTW","13:02"
"DL","07/02/2021","2117","N582NW","DTW","23:40"
"DL","07/02/2021","2126","N676DL","DTW","20:48"
"DL","07/02/2021","2157","N690DL","MSP","14:33"
"DL","07/02/2021","2160","N820DX","MSP","12:06"
"DL","07/02/2021","2308","N319NB","RDU","22:24"
"DL","07/02/2021","2398","N351DN","LGA","14:11"
"DL","07/02/2021","2420","N670DN","ATL","13:14"
"DL","07/02/2021","2422","N178DZ","ATL","19:19"
"DL","07/02/2021","2438","N907DN","CVG","10:05"
"DL","07/02/2021","2490","N687DL","ATL","21:21"
"DL","07/02/2021","2538","N547US","DTW","17:30"
"DL","07/02/2021","2541","N859NW","SLC","14:31"
"DL","07/02/2021","2873","N328DN","LGA","18:39"
"DL","07/03/2021","0502","N379DA","SEA","17:14"
