Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"UA","07/01/2021","0249","N38443","CLE","10:36"
"UA","07/01/2021","0259","N37516","DEN","23:38"
"UA","07/01/2021","0327","N37470","DEN","21:36"
"UA","07/01/2021","0413","N47517","IAH","13:15"
"UA","07/01/2021","0425","N64844","DEN","13:44"
"UA","07/01/2021","0436","N26215","EWR","13:43"
"UA","07/01/2021","0453","N12221","EWR","11:13"
"UA","07/01/2021","0593","N28457","LAX","17:41"
"UA","07/01/2021","0600","N27526","IAH","10:49"
"UA","07/01/2021","0622","N69824","ORD","18:03"
"UA","07/01/2021","0687","N19117","EWR","21:39"
"UA","07/01/2021","0755","N57852","DEN","15:25"
"UA","07/01/2021","0800","N14115","EWR","09:44"
"UA","07/01/2021","1084","N75858","ORD","14:36"
"UA","07/01/2021","1170","N12125","SFO","16:50"
"UA","07/01/2021","1217","N37530","IAH","15:51"
"UA","07/01/2021","1250","N28457","IAD","00:18"
"UA","07/01/2021","1668","N37263","IAH","21:26"
"UA","07/01/2021","1676","N68802","ORD","22:01"
"UA","07/01/2021","1683","N78540","DEN","19:26"
"UA","07/01/2021","1836","N19117","EWR","12:58"
"UA","07/01/2021","1929","N69804","EWR","15:20"
"UA","07/01/2021","1944","N29907","ORD","12:41"
"UA","07/01/2021","1954","N14249","IAH","23:06"
"UA","07/01/2021","2098","N75854","IAD","13:06"
"UA","07/01/2021","2135","N69840","EWR","12:13"
"UA","07/01/2021","2167","N75429","SFO","22:19"
"UA","07/01/2021","2244","N47505","EWR","19:42"
"UA","07/01/2021","2268","N75854","IAD","20:28"
"UA","07/01/2021","2410","N57864","LAX","06:26"
"UA","07/01/2021","2496","N47517","IAH","20:06"
"UA","07/01/2021","2658","N33294","IAH","17:51"
"UA","07/01/2021","2684","N68453","ORD","10:49"
"UA","07/02/2021","0249","N62892","CLE","10:36"
"UA","07/02/2021","0259","N47517","DEN","23:38"
"UA","07/02/2021","0327","N68807","DEN","21:36"
"UA","07/02/2021","0413","N37513","IAH","13:15"
"UA","07/02/2021","0425","N67812","DEN","13:44"
"UA","07/02/2021","0436","N13110","EWR","13:37"
"UA","07/02/2021","0453","N35236","EWR","11:13"
"UA","07/02/2021","0593","N63820","LAX","17:41"
"UA","07/02/2021","0600","N17105","IAH","10:49"
"UA","07/02/2021","0622","N68817","ORD","18:03"
"UA","07/02/2021","0687","N13110","EWR","21:39"
"UA","07/02/2021","0755","N57857","DEN","15:25"
"UA","07/02/2021","0800","N14106","EWR","09:44"
"UA","07/02/2021","1084","N27519","ORD","14:38"
"UA","07/02/2021","1170","N12125","SFO","16:50"
"UA","07/02/2021","1217","N62895","IAH","15:51"
"UA","07/02/2021","1250","N78511","IAD","00:18"
"UA","07/02/2021","1668","N76503","IAH","21:25"
"UA","07/02/2021","1676","N34455","ORD","22:01"
"UA","07/02/2021","1683","N77518","DEN","19:26"
"UA","07/02/2021","1836","N38424","EWR","12:58"
"UA","07/02/2021","1929","N28478","EWR","15:38"
"UA","07/02/2021","1944","N2341U","ORD","12:43"
"UA","07/02/2021","1954","N14228","IAH","23:06"
"UA","07/02/2021","2098","N57864","IAD","13:06"
"UA","07/02/2021","2135","N37437","EWR","12:13"
"UA","07/02/2021","2167","N77431","SFO","22:19"
"UA","07/02/2021","2244","N17105","EWR","19:42"
"UA","07/02/2021","2268","N57868","IAD","20:28"
