Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"AA","07/01/2021","0894","N853NN","CLT","06:31"
"AA","07/01/2021","1040","N806AW","PHX","06:00"
"AA","07/01/2021","1395","N960AN","DFW","07:00"
"AA","07/01/2021","1510","N145AN","ORD","07:10"
"AA","07/01/2021","1755","N948AN","CLT","08:37"
"AA","07/01/2021","1756","N854NN","PHX","16:39"
"AA","07/01/2021","2084","N957AN","CLT","13:41"
"AA","07/01/2021","2203","N981AN","DFW","14:59"
"AA","07/01/2021","2299","N975AN","DFW","08:35"
"AA","07/01/2021","2406","N803AW","DFW","18:45"
"AA","07/01/2021","2885","N819NN","CLT","17:28"
"AA","07/02/2021","0894","N851NN","CLT","06:39"
"AA","07/02/2021","1040","N772XF","PHX","06:00"
"AA","07/02/2021","1395","N926NN","DFW","07:00"
"AA","07/02/2021","1510","N834AW","ORD","07:10"
"AA","07/02/2021","1755","N808NN","CLT","08:37"
"AA","07/02/2021","1756","N507AY","PHX","16:44"
"AA","07/02/2021","2084","N973NN","CLT","13:41"
"AA","07/02/2021","2203","N913NN","DFW","14:59"
"AA","07/02/2021","2299","N949AN","DFW","08:35"
"AA","07/02/2021","2406","N903NN","DFW","18:55"
"AA","07/02/2021","2885","N987AN","CLT","17:28"
"AA","07/03/2021","0894","N987NN","CLT","06:39"
"AA","07/03/2021","1040","N772XF","PHX","06:00"
"AA","07/03/2021","1395","N339PL","DFW","07:00"
"AA","07/03/2021","1510","N702UW","ORD","07:10"
"AA","07/03/2021","1755","N314PD","CLT","08:37"
"AA","07/03/2021","2084","N352PS","CLT","13:41"
"AA","07/03/2021","2203","N339PL","DFW","14:59"
"AA","07/03/2021","2299","N850NN","DFW","08:35"
"AA","07/03/2021","2593","N879NN","DFW","11:00"
"AA","07/04/2021","0894","N923NN","CLT","06:39"
"AA","07/04/2021","1040","N981UY","PHX","06:00"
"AA","07/04/2021","1510","N755US","ORD","07:10"
"AA","07/04/2021","1755","N881NN","CLT","08:37"
"AA","07/04/2021","2084","N901NN","CLT","13:41"
"AA","07/04/2021","2203","N315PE","DFW","14:59"
"AA","07/04/2021","2299","N897NN","DFW","08:35"
"AA","07/04/2021","2593","N917NN","DFW","11:00"
"AA","07/05/2021","0894","N346PR","CLT","06:39"
"AA","07/05/2021","1040","N154UW","PHX","06:00"
"AA","07/05/2021","1510","N769US","ORD","07:10"
"AA","07/05/2021","1755","N947NN","CLT","08:37"
"AA","07/05/2021","1756","N519UW","PHX","16:44"
"AA","07/05/2021","2084","N972AN","CLT","13:41"
"AA","07/05/2021","2203","N886NN","DFW","14:59"
"AA","07/05/2021","2299","N816NN","DFW","07:00"
"AA","07/05/2021","2406","N960NN","DFW","18:55"
"AA","07/05/2021","2593","N979NN","DFW","11:00"
"AA","07/05/2021","2885","N819NN","CLT","17:28"
"AA","07/06/2021","0894","N925NN","CLT","06:39"
"AA","07/06/2021","1040","N827AW","PHX","06:00"
"AA","07/06/2021","1395","N836NN","DFW","07:00"
"AA","07/06/2021","1510","N829AW","ORD","07:10"
"AA","07/06/2021","1755","N858NN","CLT","08:37"
"AA","07/06/2021","1756","N972UY","PHX","16:44"
"AA","07/06/2021","2084","N925NN","CLT","13:41"
"AA","07/06/2021","2203","N844NN","DFW","14:59"
"AA","07/06/2021","2406","N980AN","DFW","18:55"
"AA","07/06/2021","2593","N832NN","DFW","11:00"
"AA","07/06/2021","2885","N884NN","CLT","17:28"
"AA","07/07/2021","0894","N884NN","CLT","06:39"
"AA","07/07/2021","1040","N772XF","PHX","06:00"
"AA","07/07/2021","1510","N815AW","ORD","07:10"
"AA","07/07/2021","1755","N805NN","CLT","08:37"
"AA","07/07/2021","1756","N539UW","PHX","16:44"
"AA","07/07/2021","2084","N991NN","CLT","13:41"
"AA","07/07/2021","2203","N947NN","DFW","14:59"
"AA","07/07/2021","2406","N937NN","DFW","18:55"
"AA","07/07/2021","2593","N989AN","DFW","11:00"
"AA","07/07/2021","2885","N968NN","CLT","17:28"
"AA","07/08/2021","0894","N845NN","CLT","06:39"
"AA","07/08/2021","1040","N839AW","PHX","06:00"
"AA","07/08/2021","1395","N901NN","DFW","07:00"
"AA","07/08/2021","1510","N826AW","ORD","07:10"
"AA","07/08/2021","1755","N831NN","CLT","08:37"
"AA","07/08/2021","1756","N194UW","PHX","16:44"
"AA","07/08/2021","2084","N850NN","CLT","13:41"
"AA","07/08/2021","2203","N973AN","DFW","14:59"
"AA","07/08/2021","2406","N989AN","DFW","18:55"
"AA","07/08/2021","2593","N996NN","DFW","11:00"
"AA","07/08/2021","2885","N859NN","CLT","17:28"
"AA","07/09/2021","0894","N912NN","CLT","06:39"
"AA","07/09/2021","1040","N831AW","PHX","06:00"
"AA","07/09/2021","1395","N805NN","DFW","07:00"
"AA","07/09/2021","1510","N177XF","ORD","07:10"
"AA","07/09/2021","1755","N809NN","CLT","08:37"
"AA","07/09/2021","1756","N539UW","PHX","16:44"
"AA","07/09/2021","2084","N959NN","CLT","13:41"
"AA","07/09/2021","2203","N875NN","DFW","14:59"
"AA","07/09/2021","2406","N862NN","DFW","18:55"
"AA","07/09/2021","2593","N955AN","DFW","11:00"
"AA","07/09/2021","2885","N903NN","CLT","17:28"
"AA","07/10/2021","0894","N909NN","CLT","06:39"
"AA","07/10/2021","1040","N749US","PHX","06:00"
"AA","07/10/2021","1395","N865NN","DFW","07:00"
"AA","07/10/2021","1510","N117UW","ORD","07:10"
"AA","07/10/2021","1755","N926NN","CLT","08:37"
"AA","07/10/2021","1756","N981UY","PHX","16:44"
"AA","07/10/2021","2084","N950NN","CLT","13:41"
