Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0424","N466UA","IAH","13:53"
"UA","07/01/2021","0572","N34460","ORD","15:20"
"UA","07/01/2021","0718","N21723","ORD","08:15"
"UA","07/01/2021","0754","N811UA","ORD","06:37"
"UA","07/01/2021","1689","N880UA","DEN","17:36"
"UA","07/01/2021","2490","N68880","DEN","09:05"
"UA","07/02/2021","0424","N1902U","IAH","13:53"
"UA","07/02/2021","0572","N445UA","ORD","15:20"
"UA","07/02/2021","0718","N454UA","ORD","08:15"
"UA","07/02/2021","0720","N14237","ORD","10:15"
"UA","07/02/2021","0725","N454UA","ORD","11:30"
"UA","07/02/2021","0754","N61886","ORD","06:35"
"UA","07/02/2021","1689","N802UA","DEN","17:36"
"UA","07/02/2021","2490","N39415","DEN","09:05"
"UA","07/03/2021","0424","N469UA","IAH","13:53"
"UA","07/03/2021","0718","N826UA","ORD","08:15"
"UA","07/03/2021","0720","N33209","ORD","10:15"
"UA","07/03/2021","0725","N418UA","ORD","11:30"
"UA","07/03/2021","0754","N28478","ORD","06:30"
"UA","07/03/2021","1689","N816UA","DEN","17:36"
"UA","07/03/2021","2490","N38459","DEN","09:05"
"UA","07/04/2021","0424","N420UA","IAH","13:53"
"UA","07/04/2021","0718","N427UA","ORD","08:15"
"UA","07/04/2021","0720","N33264","ORD","10:15"
"UA","07/04/2021","0725","N16732","ORD","11:30"
"UA","07/04/2021","0754","N75433","ORD","06:30"
"UA","07/04/2021","1689","N882UA","DEN","17:36"
"UA","07/04/2021","2490","N75428","DEN","09:05"
"UA","07/05/2021","0424","N75432","IAH","14:16"
"UA","07/05/2021","0572","N468UA","ORD","15:20"
"UA","07/05/2021","0718","N472UA","ORD","08:15"
"UA","07/05/2021","0720","N17244","ORD","10:15"
"UA","07/05/2021","0725","N4888U","ORD","11:30"
"UA","07/05/2021","0754","N462UA","ORD","06:37"
"UA","07/05/2021","1689","N813UA","DEN","17:36"
"UA","07/05/2021","2490","N62895","DEN","08:29"
"UA","07/06/2021","0424","N411UA","IAH","13:53"
"UA","07/06/2021","0572","N417UA","ORD","15:20"
"UA","07/06/2021","0718","N879UA","ORD","08:15"
"UA","07/06/2021","0720","N77520","ORD","10:15"
"UA","07/06/2021","0725","N879UA","ORD","11:30"
"UA","07/06/2021","0754","N63890","ORD","06:30"
"UA","07/06/2021","1689","N881UA","DEN","17:36"
"UA","07/06/2021","2490","N69888","DEN","09:05"
"UA","07/07/2021","0424","N452UA","IAH","13:53"
"UA","07/07/2021","0572","N446UA","ORD","15:20"
"UA","07/07/2021","0718","N812UA","ORD","08:15"
"UA","07/07/2021","0720","N77530","ORD","10:15"
"UA","07/07/2021","0725","N879UA","ORD","11:30"
"UA","07/07/2021","0754","N69819","ORD","06:30"
"UA","07/07/2021","1689","N814UA","DEN","17:36"
"UA","07/07/2021","2490","N66814","DEN","09:05"
"UA","07/08/2021","0424","N415UA","IAH","13:53"
"UA","07/08/2021","0572","N458UA","ORD","15:20"
"UA","07/08/2021","0718","N819UA","ORD","08:15"
"UA","07/08/2021","0720","N36272","ORD","10:15"
"UA","07/08/2021","0725","N449UA","ORD","11:30"
"UA","07/08/2021","0754","N27421","ORD","06:30"
"UA","07/08/2021","1689","N425UA","DEN","17:36"
"UA","07/08/2021","2490","N64844","DEN","09:05"
"UA","07/09/2021","0424","N446UA","IAH","13:53"
"UA","07/09/2021","0572","N425UA","ORD","15:20"
"UA","07/09/2021","0718","N847UA","ORD","08:15"
"UA","07/09/2021","0720","N13248","ORD","10:15"
"UA","07/09/2021","0725","N832UA","ORD","11:30"
"UA","07/09/2021","0754","N485UA","ORD","06:37"
"UA","07/09/2021","1689","N892UA","DEN","17:36"
