Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"AA","07/01/2021","0075","N832AA","HNL","11:45"
"AA","07/01/2021","0328","N147AA","DFW","05:00"
"AA","07/01/2021","0335","N849NN","MIA","11:55"
"AA","07/01/2021","0357","N744P","LGA","20:30"
"AA","07/01/2021","0359","N355PU","LGA","17:00"
"AA","07/01/2021","0361","N151AN","PHX","06:00"
"AA","07/01/2021","0374","N829AN","LAX","21:30"
"AA","07/01/2021","0412","N954NN","RDU","20:46"
"AA","07/01/2021","0435","N923AN","SAN","17:16"
"AA","07/01/2021","0542","N835NN","PHX","13:17"
"AA","07/01/2021","0562","N172US","PHX","11:50"
"AA","07/01/2021","0591","N197UW","SEA","17:45"
"AA","07/01/2021","0593","N897NN","SJU","10:00"
"AA","07/01/2021","0595","N883NN","SJU","17:09"
"AA","07/01/2021","0601","N947NN","PHX","15:00"
"AA","07/01/2021","0613","N927NN","LAS","19:20"
"AA","07/01/2021","0617","N403AN","FAI","17:25"
"AA","07/01/2021","0637","N827NN","PHL","09:37"
"AA","07/01/2021","0639","N748UW","TUS","08:05"
"AA","07/01/2021","0642","N994NN","EWR","13:44"
"AA","07/01/2021","0661","N917NN","DFW","13:20"
"AA","07/01/2021","0669","N904AA","LAX","07:00"
"AA","07/01/2021","0670","N973AN","DEN","17:10"
"AA","07/01/2021","0691","N869NN","FLL","20:30"
"AA","07/01/2021","0739","N931AM","LAS","15:05"
"AA","07/01/2021","0774","N819NN","MCO","07:00"
"AA","07/01/2021","0791","N992AU","MIA","13:55"
"AA","07/01/2021","0795","N981NN","SNA","19:34"
"AA","07/01/2021","0803","N845NN","BZN","07:45"
"AA","07/01/2021","0815","N874NN","CLT","16:20"
"AA","07/01/2021","0853","N968AN","SEA","15:30"
"AA","07/01/2021","0866","N969NN","PHX","09:40"
"AA","07/01/2021","0871","N9026C","JAC","08:05"
"AA","07/01/2021","0887","N965NN","RNO","15:21"
"AA","07/01/2021","0914","N129AA","LAX","13:25"
"AA","07/01/2021","0922","N553UW","MIA","17:15"
"AA","07/01/2021","0938","N833NN","CLT","17:50"
"AA","07/01/2021","0998","N9006","EGE","09:00"
"AA","07/01/2021","1002","N945AN","DCA","09:47"
"AA","07/01/2021","1012","N301NW","SAT","19:05"
"AA","07/01/2021","1029","N338PK","LAX","11:44"
"AA","07/01/2021","1073","N336SR","STL","20:55"
"AA","07/01/2021","1101","N927NN","TPA","11:30"
"AA","07/01/2021","1104","N835NN","BNA","07:50"
"AA","07/01/2021","1106","N995AN","DFW","10:51"
"AA","07/01/2021","1120","N170US","DCA","06:00"
"AA","07/01/2021","1150","N316RK","CLT","10:45"
"AA","07/01/2021","1152","N996NN","SAN","07:45"
"AA","07/01/2021","1159","N939NN","MIA","08:30"
"AA","07/01/2021","1167","N852NN","DCA","12:30"
"AA","07/01/2021","1168","N912NN","SAN","15:24"
"AA","07/01/2021","1171","N155NN","PHX","19:34"
"AA","07/01/2021","1172","N803NN","BOS","19:10"
"AA","07/01/2021","1173","N823AN","MCO","11:30"
"AA","07/01/2021","1179","N316RK","CLT","20:45"
"AA","07/01/2021","1187","N9012","JAC","11:45"
"AA","07/01/2021","1211","N997NN","EWR","09:55"
"AA","07/01/2021","1224","N748UW","EWR","19:00"
"AA","07/01/2021","1236","N812AW","GEG","11:20"
"AA","07/01/2021","1244","N871NN","SAN","19:09"
"AA","07/01/2021","1253","N970NN","SFO","19:05"
"AA","07/01/2021","1270","N959NN","ELP","17:00"
"AA","07/01/2021","1287","N301NW","RSW","10:00"
"AA","07/01/2021","1289","N864NN","RNO","19:50"
"AA","07/01/2021","1315","N805AW","IAH","15:15"
"AA","07/01/2021","1319","N9025B","EYW","11:30"
"AA","07/01/2021","1324","N955NN","FCA","11:35"
"AA","07/01/2021","1330","N812AW","IAH","19:46"
"AA","07/01/2021","1359","N650AW","PHL","16:35"
"AA","07/01/2021","1375","N428AA","LAX","15:25"
"AA","07/01/2021","1378","N850NN","ABQ","13:15"
"AA","07/01/2021","1387","N850NN","DEN","21:00"
"AA","07/01/2021","1411","N318SF","MIA","06:00"
"AA","07/01/2021","1413","N871NN","FLL","09:52"
"AA","07/01/2021","1427","N744P","BNA","15:21"
"AA","07/01/2021","1442","N744P","BNA","09:45"
"AA","07/01/2021","1443","N755US","BNA","13:30"
"AA","07/01/2021","1464","N755US","TPA","17:05"
"AA","07/01/2021","1479","N700UW","ELP","11:30"
"AA","07/01/2021","1488","N833AA","ANC","17:50"
"AA","07/01/2021","1520","N805AW","IAH","07:59"
"AA","07/01/2021","1539","N170US","LAS","12:01"
"AA","07/01/2021","1559","N829AN","LAS","08:00"
"AA","07/01/2021","1568","N339PL","SNA","17:05"
"AA","07/01/2021","1579","N821AN","DFW","09:30"
"AA","07/01/2021","1582","N955NN","MCI","20:50"
"AA","07/01/2021","1626","N813NN","PBI","11:45"
"AA","07/01/2021","1629","N823NN","AUS","07:00"
"AA","07/01/2021","1633","N657AW","PIT","13:40"
"AA","07/01/2021","1652","N428AA","PHL","08:35"
"AA","07/01/2021","1676","N112US","SRQ","08:20"
"AA","07/01/2021","1685","N912NN","VPS","08:05"
"AA","07/01/2021","1708","N145AN","MCO","09:30"
"AA","07/01/2021","1757","N924NN","SMF","19:20"
"AA","07/01/2021","1766","N856NN","JFK","17:15"
"AA","07/01/2021","1784","N902NN","CLT","05:10"
"AA","07/01/2021","1786","N838AW","MSY","15:05"
"AA","07/01/2021","1831","N117UW","PBI","09:45"
"AA","07/01/2021","1848","N972AN","PDX","08:15"
"AA","07/01/2021","1853","N805NN","PDX","19:30"
"AA","07/01/2021","1860","N834AW","ATL","13:15"
"AA","07/01/2021","1926","N858NN","DCA","21:00"
"AA","07/01/2021","1929","N965NN","RSW","07:20"
"AA","07/01/2021","1941","N700UW","PHL","19:00"
"AA","07/01/2021","1974","N873NN","SAT","13:20"
"AA","07/01/2021","1987","N146AA","SEA","08:00"
"AA","07/01/2021","1990","N162AA","SEA","12:31"
"AA","07/01/2021","2014","N811NN","SFO","11:45"
"AA","07/01/2021","2039","N145AN","SFO","07:46"
"AA","07/01/2021","2052","N812NN","CLT","07:00"
"AA","07/01/2021","2069","N355PU","SLC","08:15"
"AA","07/01/2021","2089","N976NN","SNA","11:55"
"AA","07/01/2021","2097","N563UW","PHX","20:56"
"AA","07/01/2021","2208","N837NN","AUS","19:19"
"AA","07/01/2021","2215","N118NN","PHL","06:15"
"AA","07/01/2021","2221","N885NN","LAX","10:00"
"AA","07/01/2021","2264","N337PJ","BOS","09:30"
"AA","07/01/2021","2300","N151UW","DFW","19:15"
"AA","07/01/2021","2341","N313SB","MIA","05:00"
"AA","07/01/2021","2346","N929NN","DFW","15:00"
"AA","07/01/2021","2361","N998AN","DEN","12:04"
"AA","07/01/2021","2363","N906AA","DEN","15:15"
"AA","07/01/2021","2364","N982VJ","LAX","17:30"
"AA","07/01/2021","2368","N191UW","DEN","08:10"
"AA","07/01/2021","2381","N834AW","MSP","19:20"
"AA","07/01/2021","2384","N981NN","FAT","08:35"
"AA","07/01/2021","2428","N880NN","DFW","08:30"
"AA","07/01/2021","2464","N823AN","LAS","20:30"
"AA","07/01/2021","2468","N980AN","RSW","13:45"
"AA","07/01/2021","2488","N841NN","CLT","14:07"
"AA","07/01/2021","2499","N112US","DCA","17:00"
"AA","07/01/2021","2501","N806AA","DFW","17:00"
"AA","07/01/2021","2507","N807NN","MIA","07:00"
"AA","07/01/2021","2525","N941NN","MCO","15:00"
"AA","07/01/2021","2529","N145AN","MCO","17:03"
"AA","07/01/2021","2576","N352PS","BWI","20:40"
"AA","07/01/2021","2586","N972AN","SEA","19:05"
"AA","07/01/2021","2608","N673AW","PHL","15:05"
"AA","07/01/2021","2610","N762US","TUS","19:19"
"AA","07/01/2021","2613","N652AW","MSY","08:28"
"AA","07/01/2021","2633","N117UW","DCA","19:38"
"AA","07/01/2021","2639","N919NN","SFO","15:28"
"AA","07/01/2021","2682","N813NN","BOS","20:55"
"AA","07/01/2021","2712","N9023N","RDU","16:52"
"AA","07/01/2021","2715","N998AN","LAX","20:05"
"AA","07/01/2021","2738","N996AN","DFW","20:45"
"AA","07/01/2021","2754","N556UW","DFW","07:00"
"AA","07/01/2021","2779","N9006","ATL","17:00"
"AA","07/01/2021","2784","N709UW","DCA","13:25"
"AA","07/01/2021","2795","N895NN","CLT","12:20"
"AA","07/01/2021","2826","N191UW","PHX","16:45"
"AA","07/01/2021","2828","N123NN","SFO","17:10"
"AA","07/01/2021","2873","N970NN","SNA","08:15"
"AA","07/01/2021","2882","N563UW","LAX","08:05"
"AA","07/01/2021","2895","N575UW","CLT","09:19"
"AA","07/01/2021","2918","N9012","EWR","20:39"
"AA","07/01/2021","2920","N947NN","TPA","07:20"
"AA","07/02/2021","0075","N840AN","HNL","11:45"
"AA","07/02/2021","0328","N988AL","DFW","05:00"
"AA","07/02/2021","0335","N988NN","MIA","11:55"
"AA","07/02/2021","0357","N834AW","LGA","20:30"
"AA","07/02/2021","0359","N857NN","LGA","17:00"
"AA","07/02/2021","0361","N431AN","PHX","06:01"
"AA","07/02/2021","0374","N841AN","LAX","21:30"
"AA","07/02/2021","0412","N867NN","RDU","20:46"
"AA","07/02/2021","0435","N838NN","SAN","17:16"
"AA","07/02/2021","0542","N992AN","PHX","13:17"
"AA","07/02/2021","0562","N924US","PHX","11:50"
"AA","07/02/2021","0591","N920US","SEA","17:45"
"AA","07/02/2021","0593","N983NN","SJU","10:00"
