Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"DL","07/01/2021","0536","N306DN","ATL","19:16"
"DL","07/01/2021","0665","N352NB","SLC","07:29"
"DL","07/01/2021","0818","N363DN","ATL","07:00"
"DL","07/01/2021","0843","N324DX","ATL","08:00"
"DL","07/01/2021","0925","N123DQ","SEA","18:40"
"DL","07/01/2021","0976","N122DU","SEA","07:41"
"DL","07/01/2021","1268","N326DN","MSP","18:44"
"DL","07/01/2021","1305","N372NW","SLC","13:55"
"DL","07/01/2021","1347","N350NA","ATL","10:11"
"DL","07/01/2021","1381","N355NW","SLC","19:20"
"DL","07/01/2021","1466","N343NW","ATL","16:56"
"DL","07/01/2021","1655","N129DU","SEA","14:16"
"DL","07/01/2021","1725","N329NW","ATL","12:15"
"DL","07/01/2021","1792","N121DZ","ATL","14:37"
"DL","07/01/2021","2021","N343NW","ATL","06:00"
"DL","07/02/2021","0536","N107DN","ATL","19:16"
"DL","07/02/2021","0665","N370NB","SLC","07:29"
"DL","07/02/2021","0818","N327DN","ATL","07:00"
"DL","07/02/2021","0843","N321DH","ATL","08:00"
"DL","07/02/2021","0925","N122DU","SEA","18:40"
"DL","07/02/2021","0976","N134DU","SEA","07:41"
"DL","07/02/2021","1268","N325DN","MSP","18:44"
"DL","07/02/2021","1305","N335NW","SLC","13:55"
"DL","07/02/2021","1347","N347NW","ATL","10:11"
"DL","07/02/2021","1381","N372NW","SLC","19:20"
"DL","07/02/2021","1466","N373NW","ATL","16:56"
"DL","07/02/2021","1655","N115DU","SEA","14:16"
"DL","07/02/2021","1725","N348NW","ATL","12:15"
"DL","07/02/2021","1792","N329DN","ATL","14:37"
"DL","07/02/2021","2021","N373NW","ATL","06:00"
"DL","07/03/2021","0665","N357NB","SLC","07:29"
"DL","07/03/2021","0818","N102DN","ATL","07:00"
"DL","07/03/2021","0843","N111DC","ATL","08:00"
"DL","07/03/2021","0976","N138DU","SEA","07:41"
"DL","07/03/2021","1305","N375NC","SLC","18:15"
"DL","07/03/2021","1347","N363NW","ATL","10:11"
"DL","07/03/2021","1466","N341NW","ATL","16:56"
"DL","07/03/2021","1655","N122DU","SEA","14:16"
"DL","07/03/2021","1725","N108DN","ATL","12:25"
"DL","07/03/2021","1792","N111DC","ATL","14:37"
"DL","07/03/2021","2021","N326US","ATL","06:00"
"DL","07/04/2021","0665","N325NB","SLC","07:29"
"DL","07/04/2021","0818","N107DN","ATL","07:00"
"DL","07/04/2021","0843","N321DH","ATL","08:00"
"DL","07/04/2021","0976","N138DU","SEA","07:41"
"DL","07/04/2021","1305","N348NW","SLC","18:15"
"DL","07/04/2021","1347","N363NW","ATL","10:11"
"DL","07/04/2021","1466","N372NW","ATL","16:56"
"DL","07/04/2021","1655","N135DQ","SEA","14:16"
"DL","07/04/2021","1725","N323DN","ATL","12:25"
"DL","07/04/2021","1792","N364DX","ATL","14:37"
"DL","07/04/2021","2021","N350NA","ATL","06:00"
"DL","07/05/2021","0536","N393DN","ATL","19:16"
"DL","07/05/2021","0665","N325NB","SLC","07:29"
"DL","07/05/2021","0818","N332DN","ATL","07:00"
"DL","07/05/2021","0843","N304DN","ATL","08:00"
"DL","07/05/2021","0925","N108DQ","SEA","18:40"
"DL","07/05/2021","0976","N134DU","SEA","07:41"
"DL","07/05/2021","1268","N351DN","MSP","18:44"
"DL","07/05/2021","1305","N369NW","SLC","13:55"
"DL","07/05/2021","1347","N329NW","ATL","10:11"
"DL","07/05/2021","1381","N345DN","SLC","19:20"
"DL","07/05/2021","1466","N334NW","ATL","16:56"
"DL","07/05/2021","1655","N138DU","SEA","14:16"
"DL","07/05/2021","1725","N363NW","ATL","12:15"
"DL","07/05/2021","1792","N114DN","ATL","14:37"
"DL","07/05/2021","2021","N334NW","ATL","06:00"
"DL","07/06/2021","0536","N102DN","ATL","19:16"
"DL","07/06/2021","0665","N365NB","SLC","07:29"
"DL","07/06/2021","0818","N304DN","ATL","07:00"
"DL","07/06/2021","0843","N370DN","ATL","08:00"
"DL","07/06/2021","0976","N136DQ","SEA","07:41"
"DL","07/06/2021","1268","N344DN","MSP","18:44"
"DL","07/06/2021","1305","N340NW","SLC","13:55"
"DL","07/06/2021","1347","N353NW","ATL","10:11"
"DL","07/06/2021","1381","N113DQ","SLC","19:20"
"DL","07/06/2021","1466","N333NW","ATL","16:56"
"DL","07/06/2021","1655","N132DU","SEA","17:00"
"DL","07/06/2021","1725","N373NW","ATL","12:15"
"DL","07/06/2021","1792","N356DN","ATL","14:37"
"DL","07/06/2021","2021","N367NW","ATL","06:00"
"DL","07/07/2021","0665","N340NW","SLC","07:50"
"DL","07/07/2021","0818","N319US","ATL","07:00"
"DL","07/07/2021","0843","N342NW","ATL","08:00"
"DL","07/07/2021","0976","N131DU","SEA","07:30"
"DL","07/07/2021","1305","N679DA","SLC","13:49"
"DL","07/07/2021","1347","N331NW","ATL","10:26"
"DL","07/07/2021","1381","N348NW","SLC","19:26"
"DL","07/07/2021","1466","N387DN","ATL","16:47"
"DL","07/07/2021","1655","N132DU","SEA","17:00"
"DL","07/07/2021","1725","N350NA","ATL","12:15"
"DL","07/07/2021","1792","N699DL","ATL","14:25"
"DL","07/07/2021","2017","N333NW","MSP","18:54"
"DL","07/07/2021","2021","N353DN","ATL","06:00"
"DL","07/07/2021","2432","N107DU","LGA","17:00"
"DL","07/07/2021","2499","N120DU","LGA","06:15"
"DL","07/07/2021","2527","N107DU","LGA","09:45"
"DL","07/07/2021","2782","N550NW","ATL","18:59"
"DL","07/08/2021","0665","N368NW","SLC","07:50"
"DL","07/08/2021","0818","N370NW","ATL","07:00"
"DL","07/08/2021","0843","N377NW","ATL","08:00"
"DL","07/08/2021","0925","N141DU","SEA","18:20"
"DL","07/08/2021","0976","N118DU","SEA","07:30"
"DL","07/08/2021","1305","N671DN","SLC","13:49"
"DL","07/08/2021","1347","N329NW","ATL","10:26"
"DL","07/08/2021","1381","N348NW","SLC","19:26"
"DL","07/08/2021","1466","N373DX","ATL","16:47"
"DL","07/08/2021","1655","N132DU","SEA","14:01"
"DL","07/08/2021","1725","N325US","ATL","12:15"
"DL","07/08/2021","1792","N900PC","ATL","14:25"
"DL","07/08/2021","2017","N369NW","MSP","18:54"
"DL","07/08/2021","2021","N353DN","ATL","06:00"
"DL","07/08/2021","2432","N125DU","LGA","17:00"
"DL","07/08/2021","2499","N117DU","LGA","06:15"
"DL","07/08/2021","2527","N141DU","LGA","09:45"
"DL","07/08/2021","2782","N674DL","ATL","18:59"
"DL","07/09/2021","0665","N352NW","SLC","07:50"
"DL","07/09/2021","0818","N375NC","ATL","07:00"
"DL","07/09/2021","0843","N337NW","ATL","08:00"
"DL","07/09/2021","0925","N120DU","SEA","18:20"
"DL","07/09/2021","0976","N120DU","SEA","07:30"
"DL","07/09/2021","1305","N900PC","SLC","13:49"
"DL","07/09/2021","1347","N345NW","ATL","10:26"
"DL","07/09/2021","1381","N340NW","SLC","19:26"
"DL","07/09/2021","1466","N396DN","ATL","16:47"
"DL","07/09/2021","1655","N141DU","SEA","14:01"
"DL","07/09/2021","1725","N356NW","ATL","12:15"
"DL","07/09/2021","1792","N672DL","ATL","14:25"
"DL","07/09/2021","2017","N360NW","MSP","18:54"
"DL","07/09/2021","2021","N110DX","ATL","06:00"
"DL","07/09/2021","2432","N329NB","LGA","17:00"
"DL","07/09/2021","2499","N131DU","LGA","06:15"
"DL","07/09/2021","2527","N125DU","LGA","09:45"
"DL","07/09/2021","2782","N555NW","ATL","18:59"
"DL","07/10/2021","0665","N353NW","SLC","07:50"
"DL","07/10/2021","0818","N365NW","ATL","07:00"
"DL","07/10/2021","0843","N342NW","ATL","08:00"
"DL","07/10/2021","0976","N117DU","SEA","07:30"
"DL","07/10/2021","1305","N672DL","SLC","13:49"
"DL","07/10/2021","1347","N334NW","ATL","10:26"
"DL","07/10/2021","1381","N321NB","SLC","19:26"
"DL","07/10/2021","1466","N396DN","ATL","16:47"
"DL","07/10/2021","1655","N120DU","SEA","14:01"
"DL","07/10/2021","1725","N350NA","ATL","12:15"
"DL","07/10/2021","1792","N690DL","ATL","14:25"
"DL","07/10/2021","2017","N353NB","MSP","18:54"
"DL","07/10/2021","2021","N323NB","ATL","06:00"
"DL","07/10/2021","2432","N107DU","LGA","17:00"
"DL","07/10/2021","2499","N118DU","LGA","06:15"
"DL","07/10/2021","2527","N137DU","LGA","09:45"
"DL","07/10/2021","2782","N6709","ATL","18:59"
"DL","07/11/2021","0665","N361NW","SLC","07:50"
"DL","07/11/2021","0818","N342NW","ATL","07:00"
"DL","07/11/2021","0843","N331NW","ATL","08:00"
"DL","07/11/2021","0925","N127DU","SEA","18:20"
"DL","07/11/2021","0976","N127DU","SEA","07:30"
"DL","07/11/2021","1305","N695DL","SLC","13:49"
"DL","07/11/2021","1347","N375NC","ATL","10:26"
"DL","07/11/2021","1381","N377DN","SLC","19:26"
"DL","07/11/2021","1466","N375NC","ATL","16:47"
"DL","07/11/2021","1655","N136DQ","SEA","14:01"
"DL","07/11/2021","1725","N344NW","ATL","12:15"
"DL","07/11/2021","1792","N679DA","ATL","14:25"
"DL","07/11/2021","2017","N338NW","MSP","18:54"
"DL","07/11/2021","2021","N393DN","ATL","06:00"
"DL","07/11/2021","2432","N107DU","LGA","17:00"
"DL","07/11/2021","2499","N109DU","LGA","06:15"
"DL","07/11/2021","2527","N107DU","LGA","09:45"
"DL","07/11/2021","2782","N554NW","ATL","18:59"
"DL","07/12/2021","0665","N370NW","SLC","07:50"
"DL","07/12/2021","0818","N359NW","ATL","07:00"
"DL","07/12/2021","0843","N350NA","ATL","08:00"
"DL","07/12/2021","0925","N130DU","SEA","18:20"
"DL","07/12/2021","0976","N104DU","SEA","07:30"
"DL","07/12/2021","1305","N694DL","SLC","13:49"
"DL","07/12/2021","1347","N358NW","ATL","10:26"
"DL","07/12/2021","1381","N352NW","SLC","19:26"
"DL","07/12/2021","1466","N355DN","ATL","16:47"
"DL","07/12/2021","1655","N131DU","SEA","14:01"
"DL","07/12/2021","1725","N312US","ATL","12:15"
"DL","07/12/2021","1792","N697DL","ATL","14:25"
"DL","07/12/2021","2017","N338NW","MSP","18:54"
"DL","07/12/2021","2021","N112DN","ATL","06:00"
"DL","07/12/2021","2432","N304DU","LGA","17:00"
"DL","07/12/2021","2499","N129DU","LGA","06:15"
"DL","07/12/2021","2527","N108DQ","LGA","09:45"
"DL","07/12/2021","2782","N673DL","ATL","18:59"
"DL","07/13/2021","0665","N369NW","SLC","07:50"
"DL","07/13/2021","0818","N348NW","ATL","07:00"
"DL","07/13/2021","0843","N329NW","ATL","08:00"
"DL","07/13/2021","0976","N125DU","SEA","07:30"
"DL","07/13/2021","1305","N900PC","SLC","13:49"
"DL","07/13/2021","1347","N373NW","ATL","10:26"
"DL","07/13/2021","1381","N352NW","SLC","19:26"
"DL","07/13/2021","1466","N391DN","ATL","16:47"
"DL","07/13/2021","1655","N116DU","SEA","17:00"
"DL","07/13/2021","1725","N319US","ATL","12:15"
"DL","07/13/2021","1792","N6702","ATL","14:25"
"DL","07/13/2021","2017","N351NW","MSP","18:54"
"DL","07/13/2021","2021","N346DN","ATL","06:00"
"DL","07/13/2021","2432","N119DU","LGA","17:00"
"DL","07/13/2021","2499","N139DU","LGA","06:15"
"DL","07/13/2021","2527","N320US","LGA","09:45"
"DL","07/13/2021","2782","N685DA","ATL","18:59"
"DL","07/14/2021","0665","N340NW","SLC","07:50"
"DL","07/14/2021","0818","N312US","ATL","07:00"
"DL","07/14/2021","0843","N377NW","ATL","08:00"
"DL","07/14/2021","0976","N123DQ","SEA","07:30"
"DL","07/14/2021","1305","N695DL","SLC","13:49"
"DL","07/14/2021","1347","N363NW","ATL","10:26"
"DL","07/14/2021","1381","N352NW","SLC","19:26"
"DL","07/14/2021","1466","N394DX","ATL","16:47"
"DL","07/14/2021","1655","N116DU","SEA","17:00"
"DL","07/14/2021","1725","N326US","ATL","12:15"
"DL","07/14/2021","1792","N554NW","ATL","14:25"
"DL","07/14/2021","2017","N325US","MSP","18:54"
"DL","07/14/2021","2021","N306DN","ATL","06:00"
"DL","07/14/2021","2432","N141DU","LGA","17:00"
"DL","07/14/2021","2499","N136DQ","LGA","06:15"
"DL","07/14/2021","2527","N329NB","LGA","09:45"
"DL","07/14/2021","2782","N660DL","ATL","18:59"
"DL","07/15/2021","0665","N335NW","SLC","07:50"
"DL","07/15/2021","0818","N369NW","ATL","07:00"
"DL","07/15/2021","0843","N350NA","ATL","08:00"
"DL","07/15/2021","0925","N125DU","SEA","18:20"
