Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0066","N27903","KOA","09:50"
"UA","07/01/2021","0202","N27901","OGG","09:30"
"UA","07/01/2021","0219","N2747U","HNL","09:40"
"UA","07/01/2021","0262","N73445","SEA","19:50"
"UA","07/01/2021","0305","N2243U","SFO","15:50"
"UA","07/01/2021","0330","N845UA","RIC","18:15"
"UA","07/01/2021","0382","N829UA","PNS","10:50"
"UA","07/01/2021","0407","N26902","DEN","14:40"
"UA","07/01/2021","0460","N68843","GRR","21:15"
"UA","07/01/2021","0471","N447UA","JAX","19:45"
"UA","07/01/2021","0490","N68891","LAX","11:00"
"UA","07/01/2021","0531","N27519","RSW","11:00"
"UA","07/01/2021","0550","N821UA","PIT","18:15"
"UA","07/01/2021","0573","N899UA","AUS","08:58"
"UA","07/01/2021","0590","N408UA","SAT","19:50"
"UA","07/01/2021","0592","N57870","LAX","15:35"
"UA","07/01/2021","0616","N456UA","DCA","14:00"
"UA","07/01/2021","0622","N69824","MCO","14:15"
"UA","07/01/2021","0623","N21723","JAC","16:00"
"UA","07/01/2021","0638","N66808","SFO","13:06"
"UA","07/01/2021","0652","N880UA","JAX","08:52"
"UA","07/01/2021","0656","N36207","BOS","18:15"
"UA","07/01/2021","0657","N14230","SAN","16:00"
"UA","07/01/2021","0664","N878UA","EWR","12:45"
"UA","07/01/2021","0677","N810UA","BOS","11:00"
"UA","07/01/2021","0684","N458UA","RSW","14:15"
"UA","07/01/2021","0688","N77510","AUS","19:55"
"UA","07/01/2021","0691","N26910","DEN","08:55"
"UA","07/01/2021","0721","N14235","FLL","10:45"
"UA","07/01/2021","0722","N27477","FLL","07:15"
"UA","07/01/2021","0730","N57857","DEN","07:15"
"UA","07/01/2021","0732","N37470","LAS","08:50"
"UA","07/01/2021","0743","N86534","CLE","14:00"
"UA","07/01/2021","0748","N37465","SEA","09:12"
"UA","07/01/2021","0759","N417UA","LAX","07:15"
"UA","07/01/2021","0761","N445UA","BZN","20:01"
"UA","07/01/2021","0769","N845UA","ECP","11:25"
"UA","07/01/2021","0772","N68453","LAS","15:46"
"UA","07/01/2021","0776","N69835","FCA","09:07"
"UA","07/01/2021","0780","N68821","FLL","09:01"
"UA","07/01/2021","0782","N896UA","LGA","17:50"
"UA","07/01/2021","0783","N39415","MSP","19:56"
"UA","07/01/2021","0785","N76522","PDX","09:15"
"UA","07/01/2021","0788","N69818","ORF","18:30"
"UA","07/01/2021","0792","N13750","SAN","13:00"
"UA","07/01/2021","0794","N27908","IAH","09:15"
"UA","07/01/2021","0796","N413UA","SMF","20:00"
"UA","07/01/2021","0799","N74856","SFO","09:05"
"UA","07/01/2021","1006","N472UA","ROC","18:15"
"UA","07/01/2021","1007","N446UA","SMF","09:05"
"UA","07/01/2021","1044","N57864","LAX","18:15"
"UA","07/01/2021","1045","N68842","DEN","13:31"
"UA","07/01/2021","1046","N37513","IAH","20:10"
"UA","07/01/2021","1067","N829UA","BUF","17:55"
"UA","07/01/2021","1082","N17245","PHL","18:30"
"UA","07/01/2021","1084","N75858","MCO","11:00"
"UA","07/01/2021","1098","N77520","BNA","14:30"
"UA","07/01/2021","1113","N34460","MSP","13:00"
"UA","07/01/2021","1126","N38467","SRQ","14:05"
"UA","07/01/2021","1148","N428UA","ORF","14:35"
"UA","07/01/2021","1155","N62849","MCI","20:00"
"UA","07/01/2021","1186","N423UA","PDX","15:45"
"UA","07/01/2021","1195","N68802","PDX","07:20"
"UA","07/01/2021","1213","N34460","TPA","17:50"
"UA","07/01/2021","1240","N403UA","SYR","18:00"
"UA","07/01/2021","1268","N77261","IAD","21:30"
"UA","07/01/2021","1281","N39461","PDX","20:05"
"UA","07/01/2021","1282","N12225","PDX","12:55"
"UA","07/01/2021","1296","N811UA","PBI","08:55"
"UA","07/01/2021","1400","N38727","DCA","18:00"
"UA","07/01/2021","1437","N33266","DFW","07:15"
"UA","07/01/2021","1482","N63820","LAX","21:16"
"UA","07/01/2021","1494","N2331U","SFO","21:15"
"UA","07/01/2021","1504","N13750","DCA","07:20"
"UA","07/01/2021","1525","N86534","CLE","19:35"
"UA","07/01/2021","1538","N14249","TPA","11:15"
"UA","07/01/2021","1546","N68452","SFO","10:45"
"UA","07/01/2021","1574","N75861","EWR","18:00"
"UA","07/01/2021","1590","N77518","TPA","07:30"
"UA","07/01/2021","1598","N69835","IAH","18:10"
"UA","07/01/2021","1599","N13716","CLE","10:55"
