Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"DL","07/01/2021","1530","N336NW","ATL","08:40"
"DL","07/01/2021","1587","N334NW","ATL","14:47"
"DL","07/02/2021","1530","N326US","ATL","08:40"
"DL","07/02/2021","1587","N364NW","ATL","14:47"
"DL","07/03/2021","1402","N318NB","MSP","14:57"
"DL","07/03/2021","1530","N338NW","ATL","08:40"
"DL","07/03/2021","1587","N331NW","ATL","14:47"
"DL","07/04/2021","1402","N317NB","MSP","14:57"
"DL","07/04/2021","1530","N334NW","ATL","08:40"
"DL","07/04/2021","1587","N338NW","ATL","14:47"
"DL","07/05/2021","1530","N309US","ATL","08:40"
"DL","07/05/2021","1587","N370NW","ATL","14:47"
"DL","07/06/2021","1530","N337NW","ATL","08:40"
"DL","07/07/2021","1402","N320US","MSP","15:05"
"DL","07/07/2021","1530","N377NW","ATL","07:15"
"DL","07/08/2021","1530","N342NW","ATL","07:15"
"DL","07/08/2021","1587","N342NW","ATL","15:05"
"DL","07/09/2021","1530","N334NW","ATL","07:15"
"DL","07/09/2021","1587","N366NW","ATL","15:05"
"DL","07/10/2021","1402","N362NW","MSP","15:05"
"DL","07/10/2021","1530","N344NW","ATL","07:15"
"DL","07/10/2021","1587","N344NW","ATL","15:05"
"DL","07/10/2021","2417","N978AT","DTW","17:50"
"DL","07/11/2021","1402","N333NB","MSP","14:57"
"DL","07/11/2021","1530","N345NW","ATL","07:15"
"DL","07/11/2021","1587","N342NW","ATL","15:05"
"DL","07/12/2021","1530","N355NW","ATL","07:15"
"DL","07/12/2021","1587","N359NW","ATL","15:05"
"DL","07/13/2021","1530","N350NA","ATL","07:15"
"DL","07/14/2021","1402","N360NW","MSP","15:05"
"DL","07/14/2021","1530","N319US","ATL","07:15"
"DL","07/15/2021","1530","N363NW","ATL","07:15"
"DL","07/15/2021","1587","N345NW","ATL","15:05"
"DL","07/16/2021","1530","N377NW","ATL","07:15"
"DL","07/16/2021","1587","N312US","ATL","15:05"
"DL","07/17/2021","1402","N342NW","MSP","15:05"
"DL","07/17/2021","1530","N329NW","ATL","07:15"
"DL","07/17/2021","1587","N329NW","ATL","15:05"
"DL","07/17/2021","2417","N981AT","DTW","17:50"
"DL","07/18/2021","1402","N320NB","MSP","14:57"
"DL","07/18/2021","1530","N319US","ATL","07:15"
"DL","07/18/2021","1587","N349NW","ATL","15:05"
"DL","07/19/2021","1530","N343NW","ATL","07:15"
"DL","07/19/2021","1587","N309US","ATL","15:05"
"DL","07/20/2021","1530","N366NW","ATL","07:15"
"DL","07/21/2021","1402","N329NW","MSP","15:05"
"DL","07/21/2021","1530","N351NW","ATL","07:15"
"DL","07/22/2021","1530","N375NC","ATL","07:15"
"DL","07/22/2021","1587","N349NW","ATL","15:05"
"DL","07/23/2021","1530","N362NW","ATL","07:15"
"DL","07/23/2021","1587","N309US","ATL","15:05"
"DL","07/24/2021","1402","N353NW","MSP","15:05"
"DL","07/24/2021","1530","N345NW","ATL","07:15"
"DL","07/24/2021","1587","N345NW","ATL","15:05"
"DL","07/24/2021","2417","N954AT","DTW","17:50"
"DL","07/25/2021","1402","N353NB","MSP","14:57"
"DL","07/25/2021","1530","N343NW","ATL","07:15"
"DL","07/25/2021","1587","N363NW","ATL","15:05"
"DL","07/26/2021","1530","N348NW","ATL","07:15"
"DL","07/26/2021","1587","N371NW","ATL","15:05"
"DL","07/27/2021","1530","N321US","ATL","07:15"
"DL","07/28/2021","1402","N368NW","MSP","15:05"
"DL","07/28/2021","1530","N371NW","ATL","07:15"
"DL","07/29/2021","1530","N348NW","ATL","07:15"
"DL","07/29/2021","1587","N358NW","ATL","15:05"
"DL","07/30/2021","1530","N326US","ATL","07:15"
"DL","07/30/2021","1587","N376NW","ATL","15:05"
"DL","07/31/2021","1402","N366NW","MSP","15:05"
"DL","07/31/2021","1530","N331NW","ATL","07:15"
"DL","07/31/2021","1587","N376NW","ATL","15:05"
"DL","07/31/2021","2417","N944AT","DTW","17:50"
