Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0423","N897UA","IAD","07:15"
"UA","07/01/2021","1439","N473UA","DEN","08:00"
"UA","07/02/2021","0423","N24212","IAD","07:15"
"UA","07/02/2021","1439","N452UA","DEN","08:00"
"UA","07/03/2021","0423","N37253","IAD","07:15"
"UA","07/03/2021","1439","N464UA","DEN","08:00"
"UA","07/04/2021","0423","N14214","IAD","07:15"
"UA","07/04/2021","1439","N405UA","DEN","08:00"
"UA","07/05/2021","0423","N76288","IAD","07:15"
"UA","07/05/2021","1439","N452UA","DEN","08:00"
"UA","07/05/2021","1743","N421UA","IAD","14:00"
"UA","07/06/2021","0423","N76288","IAD","07:15"
"UA","07/06/2021","1439","N464UA","DEN","08:00"
"UA","07/06/2021","1743","N76288","IAD","14:00"
"UA","07/07/2021","0423","N24224","IAD","07:15"
"UA","07/07/2021","1439","N451UA","DEN","08:00"
"UA","07/08/2021","0423","N14250","IAD","07:15"
"UA","07/08/2021","1439","N451UA","DEN","08:00"
"UA","07/09/2021","0423","N73283","IAD","07:15"
"UA","07/09/2021","1439","N469UA","DEN","08:00"
"UA","07/10/2021","0423","N37263","IAD","07:15"
"UA","07/10/2021","1439","N473UA","DEN","08:00"
"UA","07/11/2021","0423","N12216","IAD","07:15"
"UA","07/11/2021","1439","N473UA","DEN","08:00"
"UA","07/12/2021","0423","N76504","IAD","07:15"
"UA","07/12/2021","1439","N825UA","DEN","08:00"
"UA","07/12/2021","1743","N24212","IAD","14:00"
"UA","07/13/2021","0423","N14230","IAD","07:15"
"UA","07/13/2021","1439","N405UA","DEN","08:00"
"UA","07/13/2021","1743","N423UA","IAD","14:00"
"UA","07/14/2021","0423","N13248","IAD","07:15"
"UA","07/14/2021","1439","N405UA","DEN","08:00"
"UA","07/15/2021","0423","N76505","IAD","07:15"
"UA","07/15/2021","1439","N488UA","DEN","08:00"
"UA","07/16/2021","0423","N33266","IAD","07:15"
"UA","07/16/2021","1439","N488UA","DEN","08:00"
"UA","07/17/2021","0423","N36247","IAD","07:15"
"UA","07/17/2021","1439","N421UA","DEN","08:00"
"UA","07/18/2021","0423","N33262","IAD","07:15"
"UA","07/18/2021","1439","N460UA","DEN","08:00"
"UA","07/19/2021","0423","N26226","IAD","07:15"
"UA","07/19/2021","1439","N423UA","DEN","08:00"
"UA","07/19/2021","1743","","IAD","14:00"
"UA","07/20/2021","0423","N35260","IAD","07:15"
"UA","07/20/2021","1439","N401UA","DEN","08:00"
"UA","07/20/2021","1743","N404UA","IAD","14:00"
"UA","07/21/2021","0423","N38268","IAD","07:15"
"UA","07/21/2021","1439","N401UA","DEN","08:00"
"UA","07/22/2021","0423","N76519","IAD","07:15"
"UA","07/22/2021","1439","N429UA","DEN","08:00"
"UA","07/23/2021","0423","N27239","IAD","07:15"
"UA","07/23/2021","1439","N473UA","DEN","08:00"
"UA","07/24/2021","0423","N26215","IAD","07:15"
"UA","07/24/2021","1439","N405UA","DEN","08:00"
"UA","07/25/2021","0423","N77261","IAD","07:15"
"UA","07/25/2021","1439","N460UA","DEN","08:00"
"UA","07/26/2021","0423","N81449","IAD","07:15"
"UA","07/26/2021","1439","N447UA","DEN","08:00"
"UA","07/26/2021","1743","N33294","IAD","14:00"
"UA","07/27/2021","0423","N14230","IAD","07:15"
"UA","07/27/2021","1439","N413UA","DEN","08:00"
"UA","07/27/2021","1743","N449UA","IAD","14:00"
"UA","07/28/2021","0423","N33209","IAD","07:15"
"UA","07/28/2021","1439","N425UA","DEN","08:00"
"UA","07/29/2021","0423","N14235","IAD","07:15"
"UA","07/29/2021","1439","N425UA","DEN","08:00"
"UA","07/30/2021","0423","N24224","IAD","07:15"
"UA","07/30/2021","1439","N468UA","DEN","08:00"
"UA","07/31/2021","0423","N33203","IAD","07:15"
"UA","07/31/2021","1439","N490UA","DEN","08:00"
