Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"AA","07/01/2021","0313","N196UW","DFW","11:40"
"AA","07/01/2021","0433","N909AM","PHL","09:00"
"AA","07/01/2021","0518","N980AN","ORD","06:15"
"AA","07/01/2021","0596","N871NN","CLT","22:15"
"AA","07/01/2021","0625","N546UW","PHX","06:50"
"AA","07/01/2021","0644","N858NN","ORD","13:03"
"AA","07/01/2021","0648","N921US","DFW","09:00"
"AA","07/01/2021","0671","N912NN","DFW","18:30"
"AA","07/01/2021","1055","N179UW","DFW","06:19"
"AA","07/01/2021","1058","N996NN","PHX","11:04"
"AA","07/01/2021","1209","N923AN","MIA","22:37"
"AA","07/01/2021","1543","N917NN","ORD","22:54"
"AA","07/01/2021","1651","N913US","CLT","07:19"
"AA","07/01/2021","1939","N138AN","DFW","14:32"
"AA","07/01/2021","1951","N519UW","PHX","17:41"
"AA","07/01/2021","1954","N194UW","CLT","11:15"
"AA","07/01/2021","1955","N154AA","DFW","12:35"
"AA","07/01/2021","2349","N948NN","DFW","10:38"
"AA","07/01/2021","2439","N929AA","DFW","08:00"
"AA","07/01/2021","2535","N188US","DFW","07:05"
"AA","07/01/2021","2745","N874NN","ORD","08:56"
"AA","07/01/2021","2747","N148AN","DFW","16:33"
"AA","07/01/2021","2757","N942NN","PHX","14:34"
"AA","07/01/2021","2758","N986AN","PHL","22:35"
"AA","07/01/2021","2935","N918US","CLT","13:46"
"AA","07/02/2021","0313","N988AL","DFW","11:40"
"AA","07/02/2021","0433","N933AM","PHL","09:00"
"AA","07/02/2021","0518","N972NN","ORD","06:15"
"AA","07/02/2021","0596","N990AN","CLT","22:15"
"AA","07/02/2021","0625","N970UY","PHX","06:50"
"AA","07/02/2021","0644","N939NN","ORD","13:03"
"AA","07/02/2021","0648","N975UY","DFW","09:00"
"AA","07/02/2021","0671","N865NN","DFW","18:30"
"AA","07/02/2021","1055","N138AN","DFW","07:00"
"AA","07/02/2021","1058","N942AN","PHX","11:04"
"AA","07/02/2021","1209","N838NN","MIA","22:37"
"AA","07/02/2021","1543","N984NN","ORD","23:07"
"AA","07/02/2021","1651","N913US","CLT","07:19"
"AA","07/02/2021","1939","N134AN","DFW","14:32"
"AA","07/02/2021","1951","N194UW","PHX","17:49"
"AA","07/02/2021","1954","N572UW","CLT","11:11"
