Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"DL","07/01/2021","0428","N838MH","JFK","13:20"
"DL","07/01/2021","0492","N113DX","SEA","19:16"
"DL","07/01/2021","0657","N705TW","JFK","21:35"
"DL","07/01/2021","0701","N375NC","SEA","11:15"
"DL","07/01/2021","0704","N392DA","SEA","07:10"
"DL","07/01/2021","0738","N830MH","ATL","12:45"
"DL","07/01/2021","0806","N317DN","DTW","12:24"
"DL","07/01/2021","0820","N192DN","ATL","06:30"
"DL","07/01/2021","0831","N829MH","ATL","22:30"
"DL","07/01/2021","0914","N304DN","MSP","06:15"
"DL","07/01/2021","1199","N690DL","MSP","14:25"
"DL","07/01/2021","1209","N826MH","MSP","11:40"
"DL","07/01/2021","1264","N375NC","SLC","19:02"
"DL","07/01/2021","1364","N355NW","SLC","10:08"
"DL","07/01/2021","1367","N381DZ","SLC","13:27"
"DL","07/01/2021","1412","N361DN","SLC","17:15"
"DL","07/01/2021","1413","N3750D","SEA","15:20"
"DL","07/01/2021","2249","N826MH","DTW","22:15"
"DL","07/01/2021","2423","N340DN","SLC","06:15"
"DL","07/02/2021","0428","N833MH","JFK","13:20"
"DL","07/02/2021","0492","N351NW","SEA","19:16"
"DL","07/02/2021","0657","N707TW","JFK","21:35"
"DL","07/02/2021","0701","N113DX","SEA","11:15"
"DL","07/02/2021","0704","N3750D","SEA","07:10"
"DL","07/02/2021","0738","N839MH","ATL","12:45"
"DL","07/02/2021","0806","N377DN","DTW","12:24"
"DL","07/02/2021","0820","N190DN","ATL","06:30"
"DL","07/02/2021","0831","N825MH","ATL","22:30"
"DL","07/02/2021","0914","N317DN","MSP","06:15"
"DL","07/02/2021","1199","N697DL","MSP","14:25"
"DL","07/02/2021","1209","N826MH","MSP","11:40"
"DL","07/02/2021","1264","N113DX","SLC","19:02"
"DL","07/02/2021","1364","N370NB","SLC","10:08"
"DL","07/02/2021","1367","N365DN","SLC","13:27"
"DL","07/02/2021","1412","N395DZ","SLC","17:15"
"DL","07/02/2021","1413","N3738B","SEA","15:20"
