Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0264","N69847","DEN","11:34"
"UA","07/01/2021","0353","N35260","IAH","18:00"
"UA","07/01/2021","0546","N66831","IAD","08:30"
"UA","07/01/2021","0651","N12218","SFO","16:18"
"UA","07/01/2021","1095","N13750","ORD","16:05"
"UA","07/01/2021","1101","N458UA","ORD","07:15"
"UA","07/01/2021","1102","N77536","SFO","10:51"
"UA","07/01/2021","1406","N77261","ORD","12:57"
"UA","07/01/2021","1429","N37516","DEN","13:40"
"UA","07/01/2021","1450","N35236","EWR","22:30"
"UA","07/01/2021","1637","N460UA","SFO","07:22"
"UA","07/01/2021","1761","N53441","SFO","19:15"
"UA","07/01/2021","1924","N27520","ORD","10:45"
"UA","07/01/2021","2129","N38454","IAD","21:35"
"UA","07/01/2021","2163","N27213","EWR","12:45"
"UA","07/01/2021","2243","N13227","IAH","10:10"
"UA","07/01/2021","2299","N14231","DEN","16:30"
"UA","07/01/2021","2335","N37508","DEN","07:00"
"UA","07/01/2021","2364","N78540","DEN","09:00"
"UA","07/01/2021","2471","N17244","EWR","06:45"
"UA","07/01/2021","2472","N62889","IAH","08:00"
"UA","07/01/2021","2474","N37252","IAH","12:08"
"UA","07/01/2021","2478","N14230","ORD","22:15"
"UA","07/01/2021","2627","N12238","IAH","13:45"
"UA","07/02/2021","0264","N68807","DEN","11:34"
"UA","07/02/2021","0353","N11206","IAH","18:00"
"UA","07/02/2021","0546","N69810","IAD","08:30"
"UA","07/02/2021","0651","N73275","SFO","16:18"
"UA","07/02/2021","1095","N17244","ORD","16:05"
"UA","07/02/2021","1101","N68817","ORD","07:15"
"UA","07/02/2021","1102","N839UA","SFO","10:49"
"UA","07/02/2021","1406","N12218","ORD","12:57"
"UA","07/02/2021","1429","N47517","DEN","13:40"
"UA","07/02/2021","1450","N53442","EWR","22:30"
"UA","07/02/2021","1637","N421UA","SFO","07:22"
"UA","07/02/2021","1761","N77261","SFO","19:15"
"UA","07/02/2021","1924","N16234","ORD","10:45"
"UA","07/02/2021","2129","N69810","IAD","21:35"
"UA","07/02/2021","2163","N24211","EWR","12:45"
"UA","07/02/2021","2243","N87527","IAH","10:10"
"UA","07/02/2021","2299","N449UA","DEN","16:30"
"UA","07/02/2021","2335","N38446","DEN","07:00"
"UA","07/02/2021","2364","N14214","DEN","09:00"
"UA","07/02/2021","2471","N77530","EWR","06:45"
"UA","07/02/2021","2472","N33266","IAH","08:00"
"UA","07/02/2021","2474","N77510","IAH","12:08"
"UA","07/02/2021","2478","N33209","ORD","22:15"
"UA","07/02/2021","2627","N33286","IAH","13:45"
"UA","07/03/2021","0264","N61898","DEN","11:34"
"UA","07/03/2021","0353","N63899","IAH","18:00"
"UA","07/03/2021","0546","N27421","IAD","08:30"
"UA","07/03/2021","0651","N77538","SFO","16:18"
"UA","07/03/2021","1095","N68802","ORD","16:05"
"UA","07/03/2021","1101","N76529","ORD","07:15"
"UA","07/03/2021","1102","N872UA","SFO","10:49"
"UA","07/03/2021","1406","N73275","ORD","12:57"
"UA","07/03/2021","1429","N37516","DEN","13:40"
"UA","07/03/2021","1637","N423UA","SFO","07:22"
"UA","07/03/2021","1761","N79541","SFO","19:35"
"UA","07/03/2021","2129","N69806","IAD","21:35"
"UA","07/03/2021","2163","N37420","EWR","12:45"
"UA","07/03/2021","2243","N78501","IAH","10:10"
"UA","07/03/2021","2299","N412UA","DEN","16:30"
"UA","07/03/2021","2335","N37516","DEN","07:00"
"UA","07/03/2021","2364","N34222","DEN","09:00"
"UA","07/03/2021","2471","N35204","EWR","06:45"
"UA","07/03/2021","2474","N16234","IAH","12:08"
"UA","07/03/2021","2478","N66837","ORD","22:15"
"UA","07/03/2021","2627","N76254","IAH","13:45"
"UA","07/04/2021","0264","N75426","DEN","11:34"
"UA","07/04/2021","0546","N27421","IAD","08:30"
"UA","07/04/2021","0651","N37274","SFO","16:18"
"UA","07/04/2021","1095","N16217","ORD","16:05"
"UA","07/04/2021","1101","N77518","ORD","07:15"
"UA","07/04/2021","1102","N872UA","SFO","10:49"
"UA","07/04/2021","1406","N76254","ORD","12:57"
"UA","07/04/2021","1429","N37506","DEN","13:40"
"UA","07/04/2021","1637","N462UA","SFO","07:22"
"UA","07/04/2021","1924","N64844","ORD","10:45"
"UA","07/04/2021","2129","N68822","IAD","21:35"
"UA","07/04/2021","2163","N68811","EWR","12:45"
"UA","07/04/2021","2243","N14249","IAH","10:10"
"UA","07/04/2021","2299","N68807","DEN","16:30"
"UA","07/04/2021","2335","N37530","DEN","07:00"
"UA","07/04/2021","2364","N54241","DEN","09:00"
"UA","07/04/2021","2471","N76502","EWR","06:45"
"UA","07/04/2021","2472","N423UA","IAH","08:00"
"UA","07/04/2021","2474","N77295","IAH","12:08"
"UA","07/04/2021","2627","N27213","IAH","13:45"
"UA","07/05/2021","0264","N34460","DEN","11:34"
"UA","07/05/2021","0353","N78285","IAH","18:00"
"UA","07/05/2021","0546","N66893","IAD","08:30"
"UA","07/05/2021","0651","N26210","SFO","16:18"
"UA","07/05/2021","1095","N14240","ORD","16:05"
"UA","07/05/2021","1101","N35204","ORD","07:15"
"UA","07/05/2021","1102","N852UA","SFO","10:49"
"UA","07/05/2021","1406","N14231","ORD","12:57"
"UA","07/05/2021","1429","N17529","DEN","13:40"
"UA","07/05/2021","1450","N37420","EWR","22:30"
"UA","07/05/2021","1637","N422UA","SFO","07:22"
"UA","07/05/2021","1761","N66831","SFO","19:15"
"UA","07/05/2021","1924","N26215","ORD","10:45"
"UA","07/05/2021","2129","N68801","IAD","21:35"
"UA","07/05/2021","2163","N54241","EWR","12:45"
"UA","07/05/2021","2243","N18220","IAH","10:10"
"UA","07/05/2021","2299","N407UA","DEN","16:30"
"UA","07/05/2021","2335","N37518","DEN","07:00"
"UA","07/05/2021","2364","N14230","DEN","09:00"
"UA","07/05/2021","2471","N37420","EWR","06:45"
"UA","07/05/2021","2472","N79521","IAH","08:00"
"UA","07/05/2021","2474","N79541","IAH","12:08"
"UA","07/05/2021","2478","N33264","ORD","22:15"
"UA","07/05/2021","2627","N37273","IAH","13:45"
"UA","07/06/2021","0264","N38446","DEN","11:34"
"UA","07/06/2021","0546","N77520","IAD","08:30"
"UA","07/06/2021","0651","N26210","SFO","16:18"
"UA","07/06/2021","1095","N38454","ORD","16:05"
"UA","07/06/2021","1101","N38417","ORD","07:15"
"UA","07/06/2021","1102","N852UA","SFO","10:49"
"UA","07/06/2021","1406","N27246","ORD","12:57"
"UA","07/06/2021","1429","N17529","DEN","13:40"
"UA","07/06/2021","1450","N69810","EWR","22:30"
"UA","07/06/2021","1637","N449UA","SFO","07:22"
"UA","07/06/2021","1761","N37465","SFO","19:15"
"UA","07/06/2021","1924","N76254","ORD","10:45"
"UA","07/06/2021","2129","N64844","IAD","21:35"
"UA","07/06/2021","2163","N13248","EWR","12:45"
"UA","07/06/2021","2243","N13227","IAH","10:10"
"UA","07/06/2021","2299","N454UA","DEN","16:30"
"UA","07/06/2021","2335","N37502","DEN","07:00"
"UA","07/06/2021","2364","N17244","DEN","09:00"
"UA","07/06/2021","2471","N18243","EWR","06:45"
"UA","07/06/2021","2472","N36272","IAH","08:00"
"UA","07/06/2021","2474","N26215","IAH","12:08"
"UA","07/06/2021","2478","","ORD","22:15"
"UA","07/06/2021","2627","N14240","IAH","13:45"
"UA","07/07/2021","0264","N77431","DEN","11:34"
"UA","07/07/2021","0353","N77535","IAH","18:00"
"UA","07/07/2021","0546","N62894","IAD","08:30"
"UA","07/07/2021","0651","N37290","SFO","16:18"
"UA","07/07/2021","1095","N77530","ORD","16:05"
"UA","07/07/2021","1101","N76504","ORD","07:15"
"UA","07/07/2021","1102","N876UA","SFO","10:49"
"UA","07/07/2021","1406","N14230","ORD","12:57"
"UA","07/07/2021","1429","N37507","DEN","13:40"
"UA","07/07/2021","1450","N66848","EWR","22:30"
"UA","07/07/2021","1637","N470UA","SFO","07:22"
"UA","07/07/2021","1761","N28457","SFO","19:15"
"UA","07/07/2021","1924","N76502","ORD","10:45"
"UA","07/07/2021","2129","N81449","IAD","21:35"
"UA","07/07/2021","2163","N68880","EWR","13:30"
"UA","07/07/2021","2243","N73270","IAH","10:10"
"UA","07/07/2021","2299","N427UA","DEN","16:30"
"UA","07/07/2021","2335","N37507","DEN","07:00"
"UA","07/07/2021","2364","N27246","DEN","09:00"
"UA","07/07/2021","2471","N27213","EWR","06:45"
"UA","07/07/2021","2472","N36207","IAH","08:00"
"UA","07/07/2021","2474","N17233","IAH","12:08"
"UA","07/07/2021","2478","N36272","ORD","22:15"
"UA","07/07/2021","2627","N37274","IAH","13:45"
"UA","07/08/2021","0264","N69804","DEN","11:34"
"UA","07/08/2021","0353","N73299","IAH","18:00"
"UA","07/08/2021","0546","N67846","IAD","08:30"
"UA","07/08/2021","0651","N33203","SFO","16:18"
"UA","07/08/2021","1095","N36272","ORD","16:05"
"UA","07/08/2021","1101","N14230","ORD","07:15"
"UA","07/08/2021","1102","N882UA","SFO","10:49"
"UA","07/08/2021","1406","N18220","ORD","12:57"
"UA","07/08/2021","1429","N47512","DEN","13:40"
"UA","07/08/2021","1450","","EWR","22:30"
"UA","07/08/2021","1637","N467UA","SFO","07:22"
"UA","07/08/2021","1761","N38479","SFO","19:15"
"UA","07/08/2021","1924","N24224","ORD","10:45"
