Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"AA","07/01/2021","0358","N851NN","CLT","07:22"
"AA","07/01/2021","0365","N198UW","PHX","13:14"
"AA","07/01/2021","0418","N998AN","ORD","05:00"
"AA","07/01/2021","0459","N945NN","PHX","05:32"
"AA","07/01/2021","0708","N856NN","ORD","10:01"
"AA","07/01/2021","0710","N968NN","PHX","15:04"
"AA","07/01/2021","0854","N934AA","DFW","18:07"
"AA","07/01/2021","1119","N191UW","ORD","23:59"
"AA","07/01/2021","1240","N869NN","ORD","12:06"
"AA","07/01/2021","1436","N551UW","CLT","12:56"
"AA","07/01/2021","1471","N302SS","MIA","00:44"
"AA","07/01/2021","1667","N914UY","DFW","07:30"
"AA","07/01/2021","1828","N940NN","DFW","09:40"
"AA","07/01/2021","1991","N162AA","ORD","16:11"
"AA","07/01/2021","1992","N187US","DFW","15:29"
"AA","07/01/2021","1993","N994AN","DFW","13:48"
"AA","07/01/2021","1996","N852NN","DFW","23:59"
"AA","07/01/2021","2001","N909AM","PHL","23:13"
"AA","07/01/2021","2113","N150UW","PHL","09:00"
"AA","07/01/2021","2748","N155NN","DFW","05:45"
"AA","07/01/2021","2767","N146AA","DFW","11:43"
"AA","07/01/2021","2793","N915US","CLT","21:57"
"AA","07/02/2021","0358","N972AN","CLT","07:22"
"AA","07/02/2021","0365","N150UW","PHX","13:14"
"AA","07/02/2021","0418","N158AN","ORD","05:00"
"AA","07/02/2021","0459","N968AN","PHX","05:20"
"AA","07/02/2021","0708","N959AN","ORD","10:01"
"AA","07/02/2021","0710","N948NN","PHX","15:04"
"AA","07/02/2021","0854","N989AU","DFW","18:07"
"AA","07/02/2021","1119","N176UW","ORD","23:59"
"AA","07/02/2021","1240","N953NN","ORD","12:06"
"AA","07/02/2021","1436","N979UY","CLT","12:56"
"AA","07/02/2021","1471","N318SF","MIA","00:44"
"AA","07/02/2021","1667","N901AA","DFW","07:30"
"AA","07/02/2021","1828","N958NN","DFW","09:40"
"AA","07/02/2021","1991","N127AA","ORD","15:35"
"AA","07/02/2021","1992","N551UW","DFW","15:29"
"AA","07/02/2021","1993","N196UW","DFW","13:48"
"AA","07/02/2021","1996","N923NN","DFW","23:45"
"AA","07/02/2021","2001","N120EE","PHL","23:13"
"AA","07/02/2021","2113","N197UW","PHL","09:26"
"AA","07/02/2021","2748","N932AM","DFW","05:45"
"AA","07/02/2021","2767","N162AA","DFW","11:43"
"AA","07/02/2021","2793","N925UY","CLT","21:57"
"AA","07/03/2021","0358","N318SF","CLT","07:22"
"AA","07/03/2021","0365","N913US","PHX","13:14"
"AA","07/03/2021","0418","N933AM","ORD","05:00"
"AA","07/03/2021","0459","N338PK","PHX","05:20"
"AA","07/03/2021","0708","N865NN","ORD","10:01"
"AA","07/03/2021","0854","N135NN","DFW","18:07"
"AA","07/03/2021","1240","N996NN","ORD","12:06"
"AA","07/03/2021","1436","N924US","CLT","12:56"
"AA","07/03/2021","1471","N990NN","MIA","00:44"
"AA","07/03/2021","1667","N171US","DFW","07:30"
"AA","07/03/2021","1828","N301PA","DFW","09:40"
"AA","07/03/2021","1992","N194UW","DFW","15:29"
"AA","07/03/2021","1993","N921US","DFW","13:48"
"AA","07/03/2021","2113","N920US","PHL","09:18"
"AA","07/03/2021","2748","N129AA","DFW","05:45"
"AA","07/03/2021","2767","N163AA","DFW","11:43"
"AA","07/03/2021","2793","N183UW","CLT","23:49"
"AA","07/04/2021","0358","N894NN","CLT","07:22"
"AA","07/04/2021","0418","N901AA","ORD","05:00"
"AA","07/04/2021","0459","N924NN","PHX","05:32"
"AA","07/04/2021","0708","N986NN","ORD","10:01"
"AA","07/04/2021","0854","N126AN","DFW","18:07"
"AA","07/04/2021","1240","N869NN","ORD","12:06"
"AA","07/04/2021","1471","N306SP","MIA","00:44"
"AA","07/04/2021","1667","N900UW","DFW","07:30"
"AA","07/04/2021","1828","N961AN","DFW","09:40"
"AA","07/04/2021","1991","N901AA","ORD","15:45"
"AA","07/04/2021","1993","N182UW","DFW","13:48"
"AA","07/04/2021","2748","N521UW","DFW","05:30"
"AA","07/04/2021","2767","N993AN","DFW","11:43"
"AA","07/04/2021","2793","N151UW","CLT","21:57"
"AA","07/05/2021","0358","N943AN","CLT","07:22"
"AA","07/05/2021","0365","N510UW","PHX","13:14"
"AA","07/05/2021","0418","N904AA","ORD","05:00"
"AA","07/05/2021","0459","N847NN","PHX","05:20"
"AA","07/05/2021","0708","N829NN","ORD","10:01"
"AA","07/05/2021","0710","N344PP","PHX","15:04"
"AA","07/05/2021","0854","N125AA","DFW","18:07"
"AA","07/05/2021","1119","N913US","ORD","23:59"
"AA","07/05/2021","1240","N915NN","ORD","12:06"
"AA","07/05/2021","1436","N167US","CLT","12:56"
"AA","07/05/2021","1471","N338ST","MIA","00:44"
"AA","07/05/2021","1667","N151AN","DFW","07:30"
"AA","07/05/2021","1991","N994AN","ORD","15:35"
"AA","07/05/2021","1992","N927UW","DFW","15:29"
"AA","07/05/2021","1993","N180US","DFW","13:48"
"AA","07/05/2021","1996","N832NN","DFW","23:45"
"AA","07/05/2021","2001","N138AN","PHL","23:13"
"AA","07/05/2021","2113","N580UW","PHL","09:26"
"AA","07/05/2021","2748","N166NN","DFW","05:45"
"AA","07/05/2021","2767","N996AN","DFW","11:43"
"AA","07/05/2021","2793","N191UW","CLT","21:57"
"AA","07/06/2021","0358","N897NN","CLT","07:22"
"AA","07/06/2021","0365","N199UW","PHX","13:14"
"AA","07/06/2021","0418","N928AM","ORD","05:00"
"AA","07/06/2021","0459","N851NN","PHX","05:20"
"AA","07/06/2021","0708","N966AN","ORD","10:01"
"AA","07/06/2021","0710","N357PV","PHX","15:04"
"AA","07/06/2021","0854","N155NN","DFW","18:07"
"AA","07/06/2021","1119","N563UW","ORD","23:59"
"AA","07/06/2021","1240","N973NN","ORD","12:06"
"AA","07/06/2021","1436","N188US","CLT","12:56"
"AA","07/06/2021","1471","N328RR","MIA","00:44"
"AA","07/06/2021","1667","N160AN","DFW","07:30"
"AA","07/06/2021","1828","N919NN","DFW","09:40"
"AA","07/06/2021","1991","N991AU","ORD","15:35"
"AA","07/06/2021","1992","N198UW","DFW","15:29"
"AA","07/06/2021","1993","N150NN","DFW","13:48"
"AA","07/06/2021","2113","N560UW","PHL","09:26"
"AA","07/06/2021","2748","N907AA","DFW","05:45"
"AA","07/06/2021","2767","N132AN","DFW","11:43"
"AA","07/06/2021","2793","N167US","CLT","21:57"
"AA","07/07/2021","0358","N811NN","CLT","07:22"
"AA","07/07/2021","0365","N190UW","PHX","13:14"
"AA","07/07/2021","0418","N932AM","ORD","05:00"
"AA","07/07/2021","0459","N907NN","PHX","05:20"
"AA","07/07/2021","0708","N996NN","ORD","10:01"
"AA","07/07/2021","0710","N938AN","PHX","15:04"
"AA","07/07/2021","0854","N929AA","DFW","18:07"
"AA","07/07/2021","1119","N563UW","ORD","23:59"
"AA","07/07/2021","1240","N358PW","ORD","12:06"
"AA","07/07/2021","1436","N917UY","CLT","12:56"
"AA","07/07/2021","1471","N336RU","MIA","00:44"
"AA","07/07/2021","1667","N933AM","DFW","07:30"
"AA","07/07/2021","1828","N305NX","DFW","09:40"
"AA","07/07/2021","1991","N157AA","ORD","15:35"
"AA","07/07/2021","1992","N583UW","DFW","15:29"
"AA","07/07/2021","1993","N989AU","DFW","13:48"
"AA","07/07/2021","2001","N998AN","PHL","23:13"
"AA","07/07/2021","2113","N554UW","PHL","09:26"
"AA","07/07/2021","2767","N906AA","DFW","11:43"
"AA","07/07/2021","2793","N173US","CLT","21:57"
"AA","07/08/2021","0358","N974AN","CLT","07:22"
"AA","07/08/2021","0365","N551UW","PHX","13:14"
"AA","07/08/2021","0418","N931AM","ORD","05:00"
"AA","07/08/2021","0459","N813NN","PHX","05:20"
"AA","07/08/2021","0708","N932NN","ORD","10:01"
"AA","07/08/2021","0710","N965NN","PHX","15:04"
"AA","07/08/2021","0854","N190UW","DFW","18:07"
"AA","07/08/2021","1119","N582UW","ORD","23:59"
"AA","07/08/2021","1240","N972NN","ORD","12:06"
"AA","07/08/2021","1436","N917UY","CLT","12:56"
"AA","07/08/2021","1471","N323SG","MIA","00:44"
"AA","07/08/2021","1667","N986AN","DFW","07:30"
"AA","07/08/2021","1828","N962AN","DFW","09:40"
"AA","07/08/2021","1991","N993AN","ORD","15:35"
"AA","07/08/2021","1992","N198UW","DFW","15:29"
"AA","07/08/2021","1993","N904AA","DFW","13:48"
"AA","07/08/2021","2001","N121AN","PHL","23:13"
"AA","07/08/2021","2113","N575UW","PHL","09:26"
"AA","07/08/2021","2748","N902AA","DFW","05:45"
"AA","07/08/2021","2767","N157AA","DFW","11:43"
"AA","07/08/2021","2793","N971UY","CLT","21:57"
"AA","07/09/2021","0358","N947NN","CLT","07:22"
"AA","07/09/2021","0365","N195UW","PHX","13:14"
"AA","07/09/2021","0418","N909AM","ORD","05:00"
"AA","07/09/2021","0459","N338PK","PHX","05:20"
"AA","07/09/2021","0708","N967AN","ORD","10:01"
"AA","07/09/2021","0710","N344PP","PHX","15:04"
"AA","07/09/2021","0854","N552UW","DFW","18:07"
"AA","07/09/2021","1119","N199UW","ORD","23:59"
"AA","07/09/2021","1240","N817NN","ORD","12:06"
"AA","07/09/2021","1436","N982VJ","CLT","12:56"
"AA","07/09/2021","1471","N342RX","MIA","00:44"
"AA","07/09/2021","1667","N160AN","DFW","07:30"
"AA","07/09/2021","1828","N847NN","DFW","09:40"
"AA","07/09/2021","1991","N158AN","ORD","15:35"
"AA","07/09/2021","1992","N923US","DFW","15:29"
"AA","07/09/2021","1993","N932AM","DFW","13:48"
"AA","07/09/2021","2001","N930AU","PHL","23:13"
"AA","07/09/2021","2113","N980UY","PHL","09:26"
"AA","07/09/2021","2748","N166NN","DFW","05:45"
"AA","07/09/2021","2767","N991AU","DFW","11:43"
"AA","07/09/2021","2793","N578UW","CLT","21:57"
"AA","07/10/2021","0358","N933NN","CLT","07:22"
"AA","07/10/2021","0365","N557UW","PHX","13:14"
"AA","07/10/2021","0418","N148AN","ORD","05:00"
"AA","07/10/2021","0459","N970NN","PHX","05:20"
"AA","07/10/2021","0708","N983AN","ORD","10:01"
"AA","07/10/2021","0710","N971NN","PHX","15:04"
"AA","07/10/2021","0854","N133AN","DFW","18:07"
"AA","07/10/2021","1119","N904AA","ORD","23:59"
"AA","07/10/2021","1240","N343PN","ORD","12:06"
"AA","07/10/2021","1436","N538UW","CLT","12:56"
"AA","07/10/2021","1471","N328RR","MIA","00:44"
"AA","07/10/2021","1667","N931AM","DFW","07:30"
"AA","07/10/2021","1828","N938NN","DFW","09:40"
"AA","07/10/2021","1991","N125AA","ORD","15:54"
"AA","07/10/2021","1992","N580UW","DFW","15:29"
"AA","07/10/2021","1993","N576UW","DFW","13:48"
"AA","07/10/2021","2001","N908AA","PHL","23:13"
"AA","07/10/2021","2113","N542UW","PHL","09:26"
"AA","07/10/2021","2748","N145AN","DFW","05:45"
"AA","07/10/2021","2767","N158AN","DFW","11:43"
"AA","07/10/2021","2793","N549UW","CLT","21:57"
"AA","07/11/2021","0358","N906NN","CLT","07:22"
"AA","07/11/2021","0365","N918US","PHX","13:14"
"AA","07/11/2021","0418","N135NN","ORD","05:00"
"AA","07/11/2021","0459","N987NN","PHX","05:32"
"AA","07/11/2021","0708","N837NN","ORD","10:01"
"AA","07/11/2021","0710","N352PS","PHX","15:04"
"AA","07/11/2021","0854","N993AN","DFW","18:07"
"AA","07/11/2021","1119","N192UW","ORD","23:59"
"AA","07/11/2021","1240","N357PV","ORD","12:06"
"AA","07/11/2021","1436","N174US","CLT","12:56"
"AA","07/11/2021","1471","N341SV","MIA","00:44"
"AA","07/11/2021","1667","N147AA","DFW","07:30"
"AA","07/11/2021","1828","N836NN","DFW","09:40"
"AA","07/11/2021","1991","N165NN","ORD","15:35"
"AA","07/11/2021","1992","N170US","DFW","15:29"
"AA","07/11/2021","1993","N910AU","DFW","13:48"
"AA","07/11/2021","2001","N137AA","PHL","23:13"
"AA","07/11/2021","2113","N151UW","PHL","09:26"
"AA","07/11/2021","2748","N929AA","DFW","05:30"
"AA","07/11/2021","2767","N125AA","DFW","11:43"
"AA","07/11/2021","2793","N567UW","CLT","21:57"
"AA","07/12/2021","0358","N926NN","CLT","07:22"
"AA","07/12/2021","0365","N573UW","PHX","13:14"
"AA","07/12/2021","0418","N163AA","ORD","05:00"
"AA","07/12/2021","0459","N337PJ","PHX","05:20"
"AA","07/12/2021","0708","N863NN","ORD","10:01"
"AA","07/12/2021","0710","N305NX","PHX","15:04"
"AA","07/12/2021","0854","N160AN","DFW","18:07"
"AA","07/12/2021","1119","N977UY","ORD","23:59"
"AA","07/12/2021","1240","N949AN","ORD","12:06"
"AA","07/12/2021","1436","N567UW","CLT","12:56"
"AA","07/12/2021","1471","N336RU","MIA","00:44"
"AA","07/12/2021","1667","N988AL","DFW","07:30"
"AA","07/12/2021","1828","N883NN","DFW","09:40"
