Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"DL","07/01/2021","0322","N774DE","LAX","17:17"
"DL","07/01/2021","0327","N717TW","JFK","11:55"
"DL","07/01/2021","0332","N392DA","BOS","15:28"
"DL","07/01/2021","0349","N903DN","ATL","06:00"
"DL","07/01/2021","0356","N845MH","ATL","21:55"
"DL","07/01/2021","0364","N900DU","ATL","13:40"
"DL","07/01/2021","0430","N881DN","LAX","07:10"
"DL","07/01/2021","0432","N801DZ","ANC","19:44"
"DL","07/01/2021","0444","N403DX","HNL","08:00"
"DL","07/01/2021","0449","N541US","KOA","14:05"
"DL","07/01/2021","0502","N873DN","MCO","08:35"
"DL","07/01/2021","0568","N375NC","SAN","15:15"
"DL","07/01/2021","0674","N536US","LIH","13:27"
"DL","07/01/2021","0682","N118DU","PHX","07:10"
"DL","07/01/2021","0689","N3743H","TPA","13:45"
"DL","07/01/2021","0693","N723TW","JFK","07:11"
"DL","07/01/2021","0701","N375NC","SAN","07:32"
"DL","07/01/2021","0782","N831DN","JFK","15:51"
"DL","07/01/2021","0817","N122DU","PHX","11:33"
"DL","07/01/2021","0828","N395DN","RDU","15:45"
"DL","07/01/2021","0845","N184DN","ATL","00:50"
"DL","07/01/2021","0869","N583NW","ATL","12:00"
"DL","07/01/2021","0878","N537US","ATL","07:50"
"DL","07/01/2021","0898","N123DQ","ORD","11:20"
"DL","07/01/2021","0945","N926DZ","MSP","13:25"
"DL","07/01/2021","0959","N847DN","MSP","06:10"
"DL","07/01/2021","0960","N875DN","MSP","11:48"
"DL","07/01/2021","1008","N595NW","DTW","14:41"
"DL","07/01/2021","1024","N122DU","PHX","19:50"
"DL","07/01/2021","1028","N538US","DTW","06:20"
"DL","07/01/2021","1037","N345NB","BNA","17:59"
"DL","07/01/2021","1067","N110DU","AUS","09:50"
"DL","07/01/2021","1078","N129DU","AUS","17:59"
"DL","07/01/2021","1090","N541US","SLC","06:55"
"DL","07/01/2021","1096","N916DU","ANC","23:30"
"DL","07/01/2021","1112","N915DU","SLC","09:16"
"DL","07/01/2021","1116","N134DU","ORD","18:05"
"DL","07/01/2021","1124","N6702","SLC","05:45"
"DL","07/01/2021","1148","N811DZ","DTW","21:55"
"DL","07/01/2021","1187","N927DZ","LAS","12:08"
"DL","07/01/2021","1188","N833DN","FAI","18:07"
"DL","07/01/2021","1191","N3763D","LAS","16:01"
"DL","07/01/2021","1197","N927DZ","LAS","20:00"
"DL","07/01/2021","1220","N847DN","FAI","23:09"
"DL","07/01/2021","1295","N881DN","ANC","15:20"
"DL","07/01/2021","1310","N587NW","MSP","08:25"
"DL","07/01/2021","1340","N865DN","MSP","00:50"
"DL","07/01/2021","1413","N3750D","SAN","11:25"
"DL","07/01/2021","1423","N906DN","MSP","16:54"
"DL","07/01/2021","1430","N134DU","TUS","09:26"
"DL","07/01/2021","1524","N910DU","ANC","07:19"
"DL","07/01/2021","1539","N811DZ","FAI","11:32"
"DL","07/01/2021","1584","N317NB","IAD","10:05"
"DL","07/01/2021","1628","N401DZ","HNL","15:55"
"DL","07/01/2021","1632","N589NW","DTW","12:10"
"DL","07/01/2021","1652","N901DN","MCO","21:50"
"DL","07/01/2021","1655","N129DU","ORD","07:10"
"DL","07/01/2021","1660","N864DN","CVG","15:45"
"DL","07/01/2021","1694","N543US","OGG","15:35"
"DL","07/01/2021","1712","N118DU","PHX","15:27"
"DL","07/01/2021","1716","N872DN","JFK","21:50"
"DL","07/01/2021","1742","N390DA","LAX","13:25"
"DL","07/01/2021","2059","N345NB","PSP","10:05"
"DL","07/01/2021","2065","N139DU","DEN","19:10"
"DL","07/01/2021","2091","N3738B","LAX","11:20"
"DL","07/01/2021","2101","N3735D","LAX","15:40"
"DL","07/01/2021","2119","N774DE","LAX","09:40"
"DL","07/01/2021","2138","N831DN","LAS","07:56"
"DL","07/01/2021","2189","N908DN","SLC","13:32"
"DL","07/01/2021","2224","N3755D","BOS","07:15"
"DL","07/01/2021","2225","N890DN","SLC","19:07"
"DL","07/01/2021","2246","N3750D","SAN","19:15"
"DL","07/01/2021","2275","N902DN","LAX","20:06"
"DL","07/01/2021","2339","N3763D","SFO","09:20"
"DL","07/01/2021","2434","N833DN","SLC","10:58"
"DL","07/01/2021","2443","N390DA","BOS","21:55"
"DL","07/01/2021","2456","N814DN","ATL","10:10"
"DL","07/01/2021","2457","N910DU","SLC","17:04"
"DL","07/01/2021","2471","N872DN","ANC","11:52"
"DL","07/01/2021","2579","N378DA","JNU","21:00"
"DL","07/01/2021","2701","N392DA","GEG","11:15"
"DL","07/01/2021","2714","N3741S","GEG","19:59"
"DL","07/01/2021","2725","N3735D","PDX","11:29"
"DL","07/01/2021","2742","N3754A","PDX","19:20"
"DL","07/01/2021","2806","N801DZ","ANC","09:50"
"DL","07/02/2021","0322","N378DA","LAX","17:17"
"DL","07/02/2021","0327","N705TW","JFK","11:55"
"DL","07/02/2021","0332","N3750D","BOS","15:28"
"DL","07/02/2021","0349","N869DN","ATL","06:00"
"DL","07/02/2021","0356","N827MH","ATL","21:55"
"DL","07/02/2021","0364","N881DN","ATL","13:40"
"DL","07/02/2021","0430","N886DN","LAX","07:10"
"DL","07/02/2021","0432","N906DN","ANC","19:44"
"DL","07/02/2021","0444","N189DN","HNL","08:00"
"DL","07/02/2021","0449","N543US","KOA","14:05"
"DL","07/02/2021","0502","N879DN","MCO","08:35"
"DL","07/02/2021","0568","N113DX","SAN","15:15"
"DL","07/02/2021","0674","N538US","LIH","13:27"
"DL","07/02/2021","0682","N123DQ","PHX","07:10"
"DL","07/02/2021","0689","N37700","TPA","13:45"
"DL","07/02/2021","0693","N703TW","JFK","07:11"
"DL","07/02/2021","0701","N113DX","SAN","07:32"
"DL","07/02/2021","0782","N870DN","JFK","15:51"
"DL","07/02/2021","0817","N134DU","PHX","11:33"
"DL","07/02/2021","0828","N375DA","RDU","15:45"
"DL","07/02/2021","0845","N835MH","ATL","00:50"
"DL","07/02/2021","0869","N590NW","ATL","12:00"
"DL","07/02/2021","0878","N536US","ATL","07:50"
"DL","07/02/2021","0898","N122DU","ORD","11:20"
"DL","07/02/2021","0945","N901DN","MSP","13:25"
"DL","07/02/2021","0959","N865DN","MSP","06:10"
"DL","07/02/2021","0960","N916DU","MSP","11:48"
"DL","07/02/2021","1008","N581NW","DTW","14:41"
"DL","07/02/2021","1024","N134DU","PHX","19:50"
"DL","07/02/2021","1028","N541US","DTW","06:20"
"DL","07/02/2021","1037","N359NB","BNA","17:59"
"DL","07/02/2021","1067","N127DU","AUS","09:50"
"DL","07/02/2021","1078","N115DU","AUS","17:59"
"DL","07/02/2021","1090","N543US","SLC","06:55"
"DL","07/02/2021","1096","N902DN","ANC","23:30"
"DL","07/02/2021","1112","N890DN","SLC","09:16"
"DL","07/02/2021","1116","N138DU","ORD","18:05"
"DL","07/02/2021","1124","N679DA","SLC","05:45"
"DL","07/02/2021","1148","N861DN","DTW","21:55"
"DL","07/02/2021","1187","N888DU","LAS","12:08"
"DL","07/02/2021","1188","N805DN","FAI","18:07"
"DL","07/02/2021","1191","N3754A","LAS","16:01"
"DL","07/02/2021","1197","N888DU","LAS","20:00"
"DL","07/02/2021","1220","N840DN","FAI","23:09"
"DL","07/02/2021","1295","N886DN","ANC","15:20"
"DL","07/02/2021","1310","N596NW","MSP","08:25"
"DL","07/02/2021","1340","N819DN","MSP","00:50"
"DL","07/02/2021","1413","N3738B","SAN","11:25"
"DL","07/02/2021","1423","N809DN","MSP","16:54"
"DL","07/02/2021","1430","N3744F","TUS","09:26"
"DL","07/02/2021","1524","N837DN","ANC","07:19"
"DL","07/02/2021","1539","N853DN","FAI","11:32"
"DL","07/02/2021","1584","N345NB","IAD","10:05"
"DL","07/02/2021","1628","N195DN","HNL","15:55"
"DL","07/02/2021","1632","N582NW","DTW","12:10"
"DL","07/02/2021","1652","N847DN","MCO","21:50"
"DL","07/02/2021","1655","N115DU","ORD","07:10"
"DL","07/02/2021","1660","N865DN","CVG","22:56"
"DL","07/02/2021","1694","N535US","OGG","15:35"
"DL","07/02/2021","1712","N123DQ","PHX","15:27"
"DL","07/02/2021","1716","N853DN","JFK","21:50"
