Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time
"UA","07/01/2021","0214","N872UA","SFO","18:30"
"UA","07/01/2021","0356","N425UA","IAH","23:45"
"UA","07/01/2021","0618","N37465","IAH","12:33"
"UA","07/01/2021","1125","N41135","EWR","12:40"
"UA","07/01/2021","1133","N77542","DEN","05:25"
"UA","07/01/2021","1134","N47505","EWR","07:00"
"UA","07/01/2021","1448","N69813","DEN","08:40"
"UA","07/01/2021","1630","N34455","DEN","10:55"
"UA","07/01/2021","1631","N24212","IAD","08:15"
"UA","07/01/2021","1652","N68807","IAH","07:00"
"UA","07/01/2021","1671","N39415","ORD","10:50"
"UA","07/01/2021","1695","N33209","EWR","22:45"
"UA","07/01/2021","1708","N67812","ORD","16:30"
"UA","07/01/2021","1771","N75436","ORD","06:55"
"UA","07/01/2021","1945","N53441","SFO","12:59"
"UA","07/01/2021","2050","N76515","SFO","14:45"
"UA","07/01/2021","2207","N87507","IAH","16:03"
"UA","07/01/2021","2279","N419UA","LAX","08:40"
"UA","07/01/2021","2284","N45440","ORD","14:15"
"UA","07/01/2021","2359","N835UA","SFO","07:30"
"UA","07/01/2021","2428","N87527","DEN","18:30"
"UA","07/01/2021","2493","N36444","DEN","13:22"
"UA","07/01/2021","2495","N836UA","DEN","16:20"
"UA","07/01/2021","2497","N73445","ORD","23:55"
"UA","07/02/2021","0214","N872UA","SFO","18:30"
"UA","07/02/2021","0356","N405UA","IAH","23:45"
"UA","07/02/2021","0618","N69819","IAH","12:33"
"UA","07/02/2021","1125","N17133","EWR","12:25"
"UA","07/02/2021","1133","N34222","DEN","05:25"
"UA","07/02/2021","1134","N14115","EWR","07:00"
"UA","07/02/2021","1448","N37523","DEN","08:40"
"UA","07/02/2021","1585","N66803","IAH","22:10"
"UA","07/02/2021","1630","N27511","DEN","10:58"
"UA","07/02/2021","1631","N37253","IAD","08:15"
"UA","07/02/2021","1652","N54241","IAH","07:00"
"UA","07/02/2021","1671","N66803","ORD","10:50"
"UA","07/02/2021","1695","N14115","EWR","22:43"
"UA","07/02/2021","1708","N69816","ORD","16:30"
"UA","07/02/2021","1771","N65832","ORD","07:00"
"UA","07/02/2021","1945","N69819","SFO","12:59"
"UA","07/02/2021","2050","N77537","SFO","14:45"
"UA","07/02/2021","2207","N76269","IAH","16:03"
"UA","07/02/2021","2279","N76529","LAX","08:40"
"UA","07/02/2021","2284","N36444","ORD","14:10"
"UA","07/02/2021","2359","N832UA","SFO","07:30"
