Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"AA","07/01/2021","0436","N979UY","CLT","12:54"
"AA","07/01/2021","0445","N335SN","MIA","10:11"
"AA","07/01/2021","0503","N868NN","CLT","19:35"
"AA","07/01/2021","0809","N545UW","PHL","16:27"
"AA","07/01/2021","0896","N157UW","PHL","13:30"
"AA","07/01/2021","0898","N126AN","DFW","18:45"
"AA","07/01/2021","0986","N831AW","AUS","19:44"
"AA","07/01/2021","1101","N927NN","ORD","15:19"
"AA","07/01/2021","1271","N160AN","DFW","10:48"
"AA","07/01/2021","1354","N314PD","DFW","20:30"
"AA","07/01/2021","1426","N124AA","DFW","14:33"
"AA","07/01/2021","1464","N755US","ORD","20:49"
"AA","07/01/2021","1473","N354PT","PHX","00:03"
"AA","07/01/2021","1552","N924US","DFW","16:14"
"AA","07/01/2021","1679","N824AW","DCA","13:22"
"AA","07/01/2021","1745","N895NN","DCA","22:33"
"AA","07/01/2021","1773","N183UW","CLT","00:17"
"AA","07/01/2021","1863","N740UW","DCA","11:05"
"AA","07/01/2021","1901","N828AW","CLT","18:29"
"AA","07/01/2021","1921","N341RW","MIA","23:36"
"AA","07/01/2021","2022","N162UW","CLT","21:42"
"AA","07/01/2021","2033","N861NN","MIA","18:37"
"AA","07/01/2021","2143","N576UW","PHX","16:38"
"AA","07/01/2021","2256","N141NN","DFW","00:07"
"AA","07/01/2021","2322","N838AW","PHL","18:44"
"AA","07/01/2021","2401","N509AY","DFW","21:59"
"AA","07/01/2021","2466","N408AN","MIA","12:04"
"AA","07/01/2021","2624","N710UW","MIA","20:06"
"AA","07/01/2021","2898","N907NN","CLT","09:23"
"AA","07/01/2021","2908","N119NN","PHL","11:21"
"AA","07/01/2021","2912","N195UW","CLT","10:52"
"AA","07/01/2021","2915","N987AN","CLT","14:40"
"AA","07/01/2021","2920","N947NN","ORD","11:00"
"AA","07/02/2021","0436","N587UW","CLT","12:54"
"AA","07/02/2021","0445","N923AN","MIA","10:08"
"AA","07/02/2021","0503","N929NN","CLT","19:35"
"AA","07/02/2021","0809","N932AM","PHL","16:27"
"AA","07/02/2021","0896","N521UW","PHL","13:30"
"AA","07/02/2021","0898","N187US","DFW","18:45"
"AA","07/02/2021","0986","N754UW","AUS","19:44"
"AA","07/02/2021","1101","N959NN","ORD","15:19"
"AA","07/02/2021","1271","N148AN","DFW","10:43"
"AA","07/02/2021","1354","N830NN","DFW","20:30"
"AA","07/02/2021","1426","N167AN","DFW","14:33"
"AA","07/02/2021","1473","N992AN","PHX","23:59"
"AA","07/02/2021","1552","N554UW","DFW","16:14"
"AA","07/02/2021","1679","N763US","DCA","13:22"
"AA","07/02/2021","1745","N943AN","DCA","22:33"
"AA","07/02/2021","1773","N979UY","CLT","00:17"
"AA","07/02/2021","1863","N711UW","DCA","11:05"
"AA","07/02/2021","1901","N918US","CLT","18:29"
"AA","07/02/2021","1921","N962AN","MIA","23:51"
"AA","07/02/2021","2022","N919US","CLT","21:42"
"AA","07/02/2021","2033","N827NN","MIA","18:37"
"AA","07/02/2021","2143","N970UY","PHX","16:41"
"AA","07/02/2021","2256","N161AA","DFW","00:07"
"AA","07/02/2021","2322","N774XF","PHL","18:44"
"AA","07/02/2021","2353","N971NN","DFW","12:31"
"AA","07/02/2021","2401","N903AA","DFW","21:59"
"AA","07/02/2021","2466","N341RW","MIA","12:06"
"AA","07/02/2021","2624","N723UW","MIA","20:06"
"AA","07/02/2021","2898","N961NN","CLT","09:23"
"AA","07/02/2021","2908","N165NN","PHL","11:21"
"AA","07/02/2021","2912","N183UW","CLT","10:52"
"AA","07/02/2021","2915","N316PF","CLT","14:40"
"AA","07/02/2021","2920","N893NN","ORD","10:55"
"AA","07/03/2021","0436","N919US","CLT","12:54"
"AA","07/03/2021","0445","N326SJ","MIA","10:08"
"AA","07/03/2021","0503","N339SU","CLT","19:35"
"AA","07/03/2021","0809","N199UW","PHL","16:27"
"AA","07/03/2021","0898","N126AN","DFW","18:45"
"AA","07/03/2021","1101","N829NN","ORD","15:19"
"AA","07/03/2021","1271","N902AA","DFW","10:43"
"AA","07/03/2021","1354","N945AN","DFW","20:30"
"AA","07/03/2021","1426","N189UW","DFW","14:33"
"AA","07/03/2021","1464","N721UW","ORD","20:49"
"AA","07/03/2021","1552","N124AA","DFW","16:14"
"AA","07/03/2021","1679","N824AW","DCA","13:22"
"AA","07/03/2021","1773","N174US","CLT","00:17"
"AA","07/03/2021","1863","N740UW","DCA","11:05"
"AA","07/03/2021","1901","N831AW","CLT","18:29"
"AA","07/03/2021","1921","N972NN","MIA","23:51"
"AA","07/03/2021","2022","N923US","CLT","21:42"
"AA","07/03/2021","2033","N354PT","MIA","19:05"
"AA","07/03/2021","2056","N830NN","CLT","16:16"
"AA","07/03/2021","2143","N948NN","PHX","16:55"
"AA","07/03/2021","2256","N178US","DFW","00:07"
"AA","07/03/2021","2322","N815AW","PHL","18:44"
"AA","07/03/2021","2353","N938NN","DFW","12:31"
"AA","07/03/2021","2401","N508AY","DFW","21:59"
"AA","07/03/2021","2466","N339SU","MIA","12:06"
"AA","07/03/2021","2624","N722US","MIA","20:06"
"AA","07/03/2021","2898","N659AW","CLT","09:21"
"AA","07/03/2021","2908","N404AN","PHL","11:21"
"AA","07/03/2021","2912","N979UY","CLT","10:52"
"AA","07/03/2021","2915","N877NN","CLT","14:40"
"AA","07/03/2021","2920","N915NN","ORD","10:55"
"AA","07/04/2021","0436","N972UY","CLT","12:54"
"AA","07/04/2021","0445","N339SU","MIA","10:39"
"AA","07/04/2021","0503","N316RK","CLT","19:35"
"AA","07/04/2021","0809","N186US","PHL","16:27"
"AA","07/04/2021","0896","N917UY","PHL","13:30"
"AA","07/04/2021","0898","N560UW","DFW","18:45"
"AA","07/04/2021","0986","N818AW","AUS","19:44"
"AA","07/04/2021","1101","N862NN","ORD","15:19"
"AA","07/04/2021","1354","N848NN","DFW","20:30"
"AA","07/04/2021","1426","N152AA","DFW","14:33"
"AA","07/04/2021","1464","N823AW","ORD","20:49"
"AA","07/04/2021","1552","N557UW","DFW","16:14"
"AA","07/04/2021","1679","N824AW","DCA","13:22"
"AA","07/04/2021","1863","N709UW","DCA","11:05"
"AA","07/04/2021","1901","N578UW","CLT","18:29"
"AA","07/04/2021","1921","N343RY","MIA","23:51"
"AA","07/04/2021","2022","N581UW","CLT","21:44"
"AA","07/04/2021","2033","N808NN","MIA","18:37"
"AA","07/04/2021","2143","N915US","PHX","16:41"
"AA","07/04/2021","2322","N819AW","PHL","18:44"
"AA","07/04/2021","2401","N924US","DFW","21:59"
"AA","07/04/2021","2466","N324SH","MIA","12:06"
"AA","07/04/2021","2624","N741UW","MIA","20:06"
"AA","07/04/2021","2908","N680AW","PHL","11:21"
"AA","07/04/2021","2912","N587UW","CLT","10:52"
"AA","07/04/2021","2915","N907AN","CLT","14:40"
"AA","07/04/2021","2920","N965NN","ORD","10:55"
"AA","07/05/2021","0436","N557UW","CLT","12:54"
"AA","07/05/2021","0445","N306SP","MIA","10:08"
"AA","07/05/2021","0503","N922AN","CLT","19:35"
"AA","07/05/2021","0809","N572UW","PHL","16:27"
"AA","07/05/2021","0896","N917UY","PHL","13:30"
"AA","07/05/2021","0898","N133AN","DFW","18:45"
"AA","07/05/2021","0986","N824AW","AUS","19:44"
"AA","07/05/2021","1101","N875NN","ORD","15:19"
"AA","07/05/2021","1354","N921NN","DFW","20:30"
"AA","07/05/2021","1426","N929NN","DFW","14:33"
"AA","07/05/2021","1464","N837AW","ORD","20:49"
"AA","07/05/2021","1473","N967NN","PHX","23:59"
"AA","07/05/2021","1552","N195UW","DFW","16:14"
"AA","07/05/2021","1679","N775XF","DCA","13:22"
"AA","07/05/2021","1745","N947AN","DCA","22:33"
"AA","07/05/2021","1773","N177US","CLT","00:17"
"AA","07/05/2021","1863","N703UW","DCA","11:05"
"AA","07/05/2021","1901","N161UW","CLT","18:29"
"AA","07/05/2021","1921","N315RJ","MIA","23:51"
"AA","07/05/2021","2022","N151UW","CLT","21:42"
"AA","07/05/2021","2143","N170US","PHX","16:41"
"AA","07/05/2021","2256","N126AN","DFW","00:07"
"AA","07/05/2021","2322","N764US","PHL","18:44"
"AA","07/05/2021","2353","N932AM","DFW","12:31"
"AA","07/05/2021","2401","N172US","DFW","21:59"
"AA","07/05/2021","2466","N928NN","MIA","12:06"
"AA","07/05/2021","2624","N732US","MIA","20:06"
"AA","07/05/2021","2898","N941NN","CLT","09:23"
"AA","07/05/2021","2908","N148AN","PHL","11:21"
"AA","07/05/2021","2912","N194UW","CLT","10:52"
"AA","07/05/2021","2915","N877NN","CLT","14:40"
"AA","07/05/2021","2920","N948AN","ORD","10:55"
"AA","07/06/2021","0436","N178US","CLT","12:54"
"AA","07/06/2021","0445","N302SS","MIA","10:08"
"AA","07/06/2021","0503","N997NN","CLT","19:35"
"AA","07/06/2021","0809","N154UW","PHL","16:27"
"AA","07/06/2021","0896","N509AY","PHL","13:30"
"AA","07/06/2021","0898","N125AA","DFW","18:45"
"AA","07/06/2021","0986","N838AW","AUS","19:44"
"AA","07/06/2021","1101","N857NN","ORD","15:19"
