Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"DL","07/01/2021","0446","N374NW","BOS","18:52"
"DL","07/01/2021","0473","N103DU","LGA","14:46"
"DL","07/01/2021","0481","N102DU","LGA","20:52"
"DL","07/01/2021","0689","N3743H","SEA","22:21"
"DL","07/01/2021","0753","N342NB","JFK","19:11"
"DL","07/01/2021","1050","N884DN","SLC","16:33"
"DL","07/01/2021","1058","N319NB","RDU","10:43"
"DL","07/01/2021","1072","N37700","LAX","06:06"
"DL","07/01/2021","1151","N349DX","MSP","23:32"
"DL","07/01/2021","1152","N685DA","ATL","09:41"
"DL","07/01/2021","1283","N556NW","ATL","21:35"
"DL","07/01/2021","1406","N359NW","JFK","23:02"
"DL","07/01/2021","1500","N192DN","ATL","16:03"
"DL","07/01/2021","1532","N6707A","ATL","11:25"
"DL","07/01/2021","1569","N874DN","DTW","17:08"
"DL","07/01/2021","1603","N907DN","DTW","09:33"
"DL","07/01/2021","1753","N676DL","ATL","14:26"
"DL","07/01/2021","1754","N3773D","CVG","10:14"
"DL","07/01/2021","1769","N339DN","MSP","13:06"
"DL","07/01/2021","2011","N378DN","DTW","18:39"
"DL","07/01/2021","2020","N683DA","ATL","18:31"
"DL","07/01/2021","2063","N342NB","JFK","10:28"
"DL","07/01/2021","2072","N342NW","LGA","10:50"
"DL","07/01/2021","2086","N694DL","ATL","17:07"
"DL","07/01/2021","2110","N684DA","DTW","12:50"
"DL","07/01/2021","2150","N892DN","ATL","12:28"
"DL","07/01/2021","2156","N3765","LAX","19:10"
"DL","07/01/2021","2183","N385DZ","MSP","16:52"
"DL","07/01/2021","2200","N671DN","DTW","23:56"
"DL","07/01/2021","2321","N592NW","ATL","23:57"
"DL","07/01/2021","2412","N374NW","BOS","10:28"
"DL","07/01/2021","2417","N553NW","ATL","22:53"
"DL","07/01/2021","2596","N900PC","ATL","08:38"
"DL","07/01/2021","2879","N37700","CVG","18:09"
"DL","07/02/2021","0446","N349NW","BOS","18:52"
"DL","07/02/2021","0473","N102DU","LGA","14:46"
"DL","07/02/2021","0481","N102DU","LGA","20:52"
"DL","07/02/2021","0689","N37700","SEA","22:21"
"DL","07/02/2021","0753","N342NB","JFK","18:48"
"DL","07/02/2021","1050","N827DN","SLC","16:33"
"DL","07/02/2021","1058","N339NB","RDU","11:45"
"DL","07/02/2021","1151","N122DN","MSP","23:32"
"DL","07/02/2021","1152","N6710E","ATL","09:41"
"DL","07/02/2021","1283","N686DA","ATL","21:35"
"DL","07/02/2021","1406","N342NW","JFK","23:02"
"DL","07/02/2021","1500","N675DL","ATL","16:03"
"DL","07/02/2021","1532","N684DA","ATL","11:25"
"DL","07/02/2021","1569","N801DZ","DTW","17:08"
"DL","07/02/2021","1603","N868DN","DTW","09:33"
"DL","07/02/2021","1753","N658DL","ATL","14:26"
"DL","07/02/2021","1754","N373DA","CVG","10:14"
"DL","07/02/2021","1769","N350DN","MSP","13:06"
"DL","07/02/2021","2011","N307DX","DTW","18:39"
"DL","07/02/2021","2020","N659DL","ATL","18:31"
"DL","07/02/2021","2063","N349NW","JFK","10:29"
"DL","07/02/2021","2072","N368NW","LGA","10:50"
"DL","07/02/2021","2086","N696DL","ATL","17:07"
"DL","07/02/2021","2110","N676DL","DTW","12:50"
"DL","07/02/2021","2150","N914DU","ATL","12:28"
"DL","07/02/2021","2156","N391DA","LAX","19:10"
"DL","07/02/2021","2183","N320DN","MSP","16:52"
"DL","07/02/2021","2321","N584NW","ATL","23:57"
"DL","07/02/2021","2412","N371NW","BOS","10:28"
"DL","07/02/2021","2417","N556NW","ATL","22:53"
"DL","07/02/2021","2596","N6707A","ATL","08:38"
"DL","07/02/2021","2879","N398DA","CVG","18:09"
"DL","07/03/2021","0446","N352NW","BOS","18:52"
"DL","07/03/2021","0473","N102DU","LGA","14:46"
"DL","07/03/2021","0689","N398DA","SEA","22:21"
"DL","07/03/2021","0753","N342NB","JFK","18:48"
"DL","07/03/2021","1050","N801DZ","SLC","16:33"
"DL","07/03/2021","1058","N319NB","RDU","11:45"
"DL","07/03/2021","1151","N325DN","MSP","23:32"
"DL","07/03/2021","1152","N693DL","ATL","09:41"
"DL","07/03/2021","1283","N553NW","ATL","21:35"
"DL","07/03/2021","1406","N325US","JFK","23:02"
"DL","07/03/2021","1500","N671DN","ATL","16:03"
"DL","07/03/2021","1532","N542US","ATL","11:25"
"DL","07/03/2021","1569","N906DN","DTW","17:29"
"DL","07/03/2021","1603","N861DN","DTW","09:33"
"DL","07/03/2021","1753","N659DL","ATL","14:26"
"DL","07/03/2021","1754","N3751B","CVG","10:14"
"DL","07/03/2021","1769","N105DX","MSP","13:06"
"DL","07/03/2021","2011","N330DX","DTW","18:39"
"DL","07/03/2021","2020","N829DN","ATL","18:31"
"DL","07/03/2021","2063","N352NW","JFK","10:29"
"DL","07/03/2021","2072","N368NW","LGA","10:50"
"DL","07/03/2021","2086","N365DN","ATL","17:07"
"DL","07/03/2021","2110","N867DN","DTW","12:50"
"DL","07/03/2021","2150","N895DN","ATL","12:28"
"DL","07/03/2021","2156","N397DA","LAX","19:10"
"DL","07/03/2021","2183","N385DZ","MSP","16:52"
"DL","07/03/2021","2412","N320US","BOS","10:28"
"DL","07/03/2021","2417","N595NW","ATL","22:41"
"DL","07/03/2021","2596","N659DL","ATL","08:38"
"DL","07/03/2021","2871","N105DU","LGA","20:02"
"DL","07/03/2021","2879","N3765","CVG","18:09"
"DL","07/04/2021","0446","N321US","BOS","18:52"
"DL","07/04/2021","0473","N105DU","LGA","14:46"
"DL","07/04/2021","0689","N3765","SEA","22:21"
"DL","07/04/2021","0753","N319NB","JFK","19:11"
"DL","07/04/2021","1050","N885DN","SLC","16:33"
"DL","07/04/2021","1058","N319NB","RDU","10:43"
"DL","07/04/2021","1151","N354DN","MSP","23:32"
"DL","07/04/2021","1152","N690DL","ATL","09:41"
"DL","07/04/2021","1283","N659DL","ATL","21:35"
"DL","07/04/2021","1406","N339NW","JFK","23:02"
"DL","07/04/2021","1500","N673DL","ATL","16:03"
"DL","07/04/2021","1532","N6709","ATL","11:25"
"DL","07/04/2021","1569","N837DN","DTW","17:29"
"DL","07/04/2021","1603","N837DN","DTW","09:33"
"DL","07/04/2021","1753","N674DL","ATL","14:26"
"DL","07/04/2021","1754","N776DE","CVG","10:14"
"DL","07/04/2021","1769","N326DN","MSP","13:06"
"DL","07/04/2021","2011","N378DN","DTW","18:39"
"DL","07/04/2021","2020","N864DN","ATL","18:31"
"DL","07/04/2021","2063","N368NB","JFK","10:28"
"DL","07/04/2021","2072","N370NW","LGA","10:50"
"DL","07/04/2021","2086","N670DN","ATL","17:27"
"DL","07/04/2021","2110","N867DN","DTW","12:50"
"DL","07/04/2021","2150","N876DN","ATL","12:28"
"DL","07/04/2021","2156","N3733Z","LAX","19:10"
"DL","07/04/2021","2183","N382DN","MSP","16:52"
"DL","07/04/2021","2412","N321US","BOS","10:28"
"DL","07/04/2021","2417","N587NW","ATL","22:41"
"DL","07/04/2021","2596","N660DL","ATL","08:38"
"DL","07/04/2021","2871","N118DU","LGA","20:52"
"DL","07/04/2021","2879","N385DN","CVG","18:09"
"DL","07/05/2021","0446","N354NW","BOS","18:52"
"DL","07/05/2021","0473","N118DU","LGA","14:46"
"DL","07/05/2021","0481","N116DU","LGA","20:52"
"DL","07/05/2021","0689","N774DE","SEA","22:21"
