Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time
"UA","07/01/2021","0247","N429UA","EWR","21:15"
"UA","07/01/2021","0370","N33284","DEN","13:33"
"UA","07/01/2021","0642","N18243","IAH","17:35"
"UA","07/01/2021","0709","N27515","DEN","23:31"
"UA","07/01/2021","0733","N76288","IAD","13:19"
"UA","07/01/2021","0795","N14230","EWR","11:41"
"UA","07/01/2021","1032","N17244","EWR","19:17"
"UA","07/01/2021","1167","N69804","EWR","09:45"
"UA","07/01/2021","1184","N75425","SFO","18:45"
"UA","07/01/2021","1197","N73445","EWR","15:45"
"UA","07/01/2021","1213","N34460","ORD","21:31"
"UA","07/01/2021","1265","N76532","IAD","00:20"
"UA","07/01/2021","1444","N14228","IAH","21:40"
"UA","07/01/2021","1526","N33264","EWR","13:55"
"UA","07/01/2021","1538","N14249","ORD","14:52"
"UA","07/01/2021","1590","N77518","ORD","11:03"
"UA","07/01/2021","1605","N24224","IAH","12:58"
"UA","07/01/2021","2045","N37523","DEN","15:31"
"UA","07/01/2021","2158","N37422","ORD","17:51"
"UA","07/01/2021","2437","N851UA","IAD","20:12"
"UA","07/01/2021","2619","N13720","ORD","12:35"
"UA","07/02/2021","0247","N462UA","EWR","21:15"
"UA","07/02/2021","0370","N12225","DEN","13:33"
"UA","07/02/2021","0642","N33203","IAH","17:35"
"UA","07/02/2021","0709","N76533","DEN","23:31"
"UA","07/02/2021","0733","N13716","IAD","13:19"
"UA","07/02/2021","0795","N33209","EWR","11:41"
"UA","07/02/2021","1032","N77530","EWR","19:17"
"UA","07/02/2021","1167","N68880","EWR","09:45"
"UA","07/02/2021","1184","N39463","SFO","18:45"
"UA","07/02/2021","1197","N75429","EWR","15:45"
"UA","07/02/2021","1213","N39423","ORD","21:31"
"UA","07/02/2021","1265","N63820","IAD","00:20"
"UA","07/02/2021","1444","N12216","IAH","21:40"
"UA","07/02/2021","1538","N14237","ORD","14:52"
"UA","07/02/2021","1590","N37527","ORD","11:03"
"UA","07/02/2021","1605","N86534","IAH","13:00"
"UA","07/02/2021","2045","N37508","DEN","15:31"
"UA","07/02/2021","2158","N78511","ORD","17:41"
"UA","07/02/2021","2437","N828UA","IAD","20:12"
"UA","07/02/2021","2619","N38451","ORD","12:35"
"UA","07/03/2021","0247","N425UA","EWR","21:19"
"UA","07/03/2021","0370","N429UA","DEN","13:33"
"UA","07/03/2021","0642","N37422","IAH","17:35"
"UA","07/03/2021","0709","N37521","DEN","23:31"
"UA","07/03/2021","0733","N828UA","IAD","13:19"
"UA","07/03/2021","0795","N13248","EWR","11:46"
"UA","07/03/2021","1032","N17244","EWR","19:17"
"UA","07/03/2021","1167","N75426","EWR","09:45"
"UA","07/03/2021","1184","N66897","SFO","18:45"
"UA","07/03/2021","1197","N77518","EWR","15:45"
"UA","07/03/2021","1213","N28478","ORD","21:31"
"UA","07/03/2021","1265","N66803","IAD","00:20"
"UA","07/03/2021","1444","N14231","IAH","21:40"
"UA","07/03/2021","1538","N444UA","ORD","14:52"
"UA","07/03/2021","1590","N37462","ORD","11:03"
"UA","07/03/2021","1605","N13110","IAH","13:00"
"UA","07/03/2021","2045","N37527","DEN","15:31"
"UA","07/03/2021","2437","N4888U","IAD","20:12"
"UA","07/03/2021","2619","N36444","ORD","12:35"
"UA","07/04/2021","0301","N69847","IAH","19:40"
"UA","07/04/2021","0370","N453UA","DEN","13:33"
"UA","07/04/2021","0709","N37506","DEN","23:31"
"UA","07/04/2021","0733","N16701","IAD","13:19"
"UA","07/04/2021","0795","N35204","EWR","11:41"
"UA","07/04/2021","1032","N77520","EWR","19:24"
"UA","07/04/2021","1167","N68880","EWR","09:45"
"UA","07/04/2021","1184","N39461","SFO","18:45"
"UA","07/04/2021","1197","N67845","EWR","15:45"
"UA","07/04/2021","1444","N78285","IAH","21:40"
"UA","07/04/2021","1538","N75433","ORD","14:52"
"UA","07/04/2021","1590","N67501","ORD","11:03"
"UA","07/04/2021","1605","N37518","IAH","13:00"
"UA","07/04/2021","2045","N39423","DEN","15:31"
"UA","07/04/2021","2158","N466UA","ORD","17:56"
"UA","07/04/2021","2437","N851UA","IAD","20:12"
"UA","07/04/2021","2619","N62896","ORD","12:35"
"UA","07/05/2021","0247","N453UA","EWR","21:15"
"UA","07/05/2021","0370","N76508","DEN","13:33"
"UA","07/05/2021","0642","N76523","IAH","17:35"
"UA","07/05/2021","0709","N37530","DEN","23:31"
"UA","07/05/2021","0733","N37471","IAD","13:19"
"UA","07/05/2021","0795","N33264","EWR","11:41"
"UA","07/05/2021","1032","N16217","EWR","19:17"
"UA","07/05/2021","1167","N63899","EWR","09:45"
"UA","07/05/2021","1184","N66848","SFO","18:51"
"UA","07/05/2021","1197","N38417","EWR","15:45"
"UA","07/05/2021","1213","N39463","ORD","21:31"
"UA","07/05/2021","1265","N39416","IAD","00:20"
"UA","07/05/2021","1444","N76504","IAH","21:40"
"UA","07/05/2021","1526","N41140","EWR","13:56"
"UA","07/05/2021","1538","N35236","ORD","14:52"
"UA","07/05/2021","1590","N37502","ORD","11:03"
"UA","07/05/2021","1605","N48127","IAH","13:00"
"UA","07/05/2021","2045","N47517","DEN","15:31"
"UA","07/05/2021","2158","N75426","ORD","17:41"
"UA","07/05/2021","2437","N814UA","IAD","20:12"
"UA","07/05/2021","2619","N38443","ORD","12:35"
"UA","07/06/2021","0247","N467UA","EWR","21:15"
"UA","07/06/2021","0370","N27239","DEN","13:33"
"UA","07/06/2021","0642","","IAH","17:35"
"UA","07/06/2021","0709","","DEN","23:31"
"UA","07/06/2021","0733","N23707","IAD","13:19"
"UA","07/06/2021","0795","N76502","EWR","11:41"
"UA","07/06/2021","1032","","EWR","19:17"
"UA","07/06/2021","1167","N68823","EWR","09:45"
"UA","07/06/2021","1184","","SFO","18:45"
"UA","07/06/2021","1197","N67815","EWR","15:45"
"UA","07/06/2021","1213","","ORD","21:31"
"UA","07/06/2021","1265","","IAD","00:20"
"UA","07/06/2021","1444","N78285","IAH","21:40"
"UA","07/06/2021","1526","N18223","EWR","13:55"
"UA","07/06/2021","1538","N77535","ORD","14:52"
"UA","07/06/2021","1590","N27509","ORD","11:03"
"UA","07/06/2021","1605","N14242","IAH","13:00"
"UA","07/06/2021","2045","N37518","DEN","15:31"
"UA","07/06/2021","2158","","ORD","17:41"
"UA","07/06/2021","2437","","IAD","20:12"
